gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6,gamma_7,gamma_8,gamma_9,gamma_10,label,id
0.12637291975741238,0.0007025998629774932,0.0011041105923790262,0.010225629829475391,0.002675135347543822,0.0012812816857112885,0.010015370499527165,0.0022884563018625848,0.004216904036466573,0.0020284091181017594,0.0,1.0
0.22266852438069806,0.0007025998629774932,0.0011041105923790262,0.010225629829475391,0.002675135347543822,0.0012812816857112885,0.010015370499527165,0.0022884563018625848,0.004216904036466573,0.0020284091181017594,1.0,1.0
0.13952990455777492,0.0008802151961275761,0.001421797830442717,0.009334686033188877,0.0023070739566000142,0.0027653568276591045,0.022493650540114096,0.002150747466167502,0.004741926868519375,0.0021392696566002734,0.0,2.0
0.20834739186659812,0.0008802151961275761,0.001421797830442717,0.009334686033188877,0.0023070739566000142,0.0027653568276591045,0.022493650540114096,0.002150747466167502,0.004741926868519375,0.0021392696566002734,1.0,2.0
0.1707969766466797,0.0007669690009151076,0.001738592858994803,0.010686305208554625,0.002857625000951991,0.003139716776253909,0.03346477432529005,0.0022162090689987757,0.004530639670487169,0.002856998730282001,0.0,3.0
0.2912086436929253,0.0007669690009151076,0.001738592858994803,0.010686305208554625,0.002857625000951991,0.003139716776253909,0.03346477432529005,0.0022162090689987757,0.004530639670487169,0.002856998730282001,1.0,3.0
0.16600676182996787,0.0007096591269291075,0.0020235457285795455,0.008929720164330135,0.002328146065051495,0.0023825726007040693,0.015419873994044764,0.0021212836670758684,0.0038609637185587076,0.0019099179099648644,0.0,4.0
0.26300026959293943,0.0007096591269291075,0.0020235457285795455,0.008929720164330135,0.002328146065051495,0.0023825726007040693,0.015419873994044764,0.0021212836670758684,0.0038609637185587076,0.0019099179099648644,1.0,4.0
0.22801445181203261,0.0011006532105244382,0.0013308883005596073,0.014356842238639977,0.003125374682567017,0.0012986132543253426,0.010430530715537678,0.002828554667480887,0.004958931063735239,0.0021656264710201434,0.0,5.0
0.29961203731909336,0.0011006532105244382,0.0013308883005596073,0.014356842238639977,0.003125374682567017,0.0012986132543253426,0.010430530715537678,0.002828554667480887,0.004958931063735239,0.0021656264710201434,1.0,5.0
0.14354285736290606,0.0007632279942280107,0.001102330787393413,0.01451395544682521,0.0035863612563051817,0.0014830716427480795,0.0076398808178410604,0.0023646019972165533,0.0032390490223130897,0.0012972957967445353,0.0,6.0
0.212901811908341,0.0007632279942280107,0.001102330787393413,0.01451395544682521,0.0035863612563051817,0.0014830716427480795,0.0076398808178410604,0.0023646019972165533,0.0032390490223130897,0.0012972957967445353,1.0,6.0
0.13934555271781246,0.0005964381356644566,0.0019248158618094813,0.008898342014159066,0.002660014547843925,0.0019420795571116756,0.01283347126872414,0.002416905019375637,0.004388493970349572,0.001548653250287746,0.0,7.0
0.24134425320990616,0.0005964381356644566,0.0019248158618094813,0.008898342014159066,0.002660014547843925,0.0019420795571116756,0.01283347126872414,0.002416905019375637,0.004388493970349572,0.001548653250287746,1.0,7.0
0.08212402144398157,0.0008092775018986309,0.0013698015402674457,0.015883563455643124,0.0022802928185181592,0.0011885628800216708,0.01500738537522217,0.0049294966048671895,0.006038408530408379,0.002380478785609874,0.0,8.0
0.17876866094776567,0.0008092775018986309,0.0013698015402674457,0.015883563455643124,0.0022802928185181592,0.0011885628800216708,0.01500738537522217,0.0049294966048671895,0.006038408530408379,0.002380478785609874,1.0,8.0
0.0776297122958689,0.0008519719540434068,-0.04047112888369475,0.01637742642604012,0.0018096053229759157,0.002205671428293865,0.024585433080662522,0.0053758942984267755,0.00662769319561507,0.0029187894076079246,0.0,9.0
0.16499366421338557,0.0008519719540434068,-0.04047112888369475,0.01637742642604012,0.0018096053229759157,0.002205671428293865,0.024585433080662522,0.0053758942984267755,0.00662769319561507,0.0029187894076079246,1.0,9.0
0.09270110483709759,0.0008801380809675408,-0.06716655943642036,0.04096068200345693,0.0024933162012970023,0.0010706527958870282,0.03067812005589987,0.008158865381984626,0.006733253372009695,0.0026785182735986623,0.0,10.0
0.18783103746717655,0.0008801380809675408,-0.06716655943642036,0.04096068200345693,0.0024933162012970023,0.0010706527958870282,0.03067812005589987,0.008158865381984626,0.006733253372009695,0.0026785182735986623,1.0,10.0
0.06450945823155019,0.0008628379967978717,0.004431378478611414,0.03508304704102194,0.0028631222437169868,0.0020563504241990493,0.017622327781322333,0.004408939925191202,0.007385047278164247,0.0022975587634954664,0.0,11.0
0.11868290279746097,0.0008628379967978717,0.004431378478611414,0.03508304704102194,0.0028631222437169868,0.0020563504241990493,0.017622327781322333,0.004408939925191202,0.007385047278164247,0.0022975587634954664,1.0,11.0
0.08163913734901262,0.001162138926877443,0.001170157269909211,0.02290593290525278,0.0024213194598359244,0.001230081460467325,0.013858568043228381,0.005257664556727271,0.006791482658629722,0.0029718694070863805,0.0,12.0
0.1230565523247833,0.001162138926877443,0.001170157269909211,0.02290593290525278,0.0024213194598359244,0.001230081460467325,0.013858568043228381,0.005257664556727271,0.006791482658629722,0.0029718694070863805,1.0,12.0
0.07237435728289876,0.000997507440567702,0.0011304348879890291,0.010373524416915192,0.0023185800589629046,0.00106043183916249,0.010656747002165456,0.0032239386910029033,0.003977582720075645,0.0019714980477050226,0.0,13.0
0.13367039764578958,0.000997507440567702,0.0011304348879890291,0.010373524416915192,0.0023185800589629046,0.00106043183916249,0.010656747002165456,0.0032239386910029033,0.003977582720075645,0.0019714980477050226,1.0,13.0
0.09266034210442742,0.0008124305171155477,0.004761542020430554,0.016059397857405955,0.004973799151810621,0.0014379632546122068,0.025774386340261746,0.006390155884111071,0.0053231350738847105,0.002202194370287014,0.0,14.0
0.19308364005400724,0.0008124305171155477,0.004761542020430554,0.016059397857405955,0.004973799151810621,0.0014379632546122068,0.025774386340261746,0.006390155884111071,0.0053231350738847105,0.002202194370287014,1.0,14.0
0.0829090258814511,0.000739865670609241,0.0004487849762813134,0.005471266613441106,0.0027764125360882908,0.001232159423108392,0.008520674998170552,0.001729658375105192,0.006970589272043082,0.00912169323557288,0.0,15.0
0.23457587894253873,0.000739865670609241,0.0004487849762813134,0.005471266613441106,0.0027764125360882908,0.001232159423108392,0.008520674998170552,0.001729658375105192,0.006970589272043082,0.00912169323557288,1.0,15.0
0.11200785799221435,0.0008935131696610199,0.0005568511230538142,0.007977276910273723,0.004498606694292917,0.0020010469079001503,0.015490504790848902,0.003432980167237698,0.013196325056616498,-0.024480498576648246,0.0,16.0
0.24702630219266064,0.0008935131696610199,0.0005568511230538142,0.007977276910273723,0.004498606694292917,0.0020010469079001503,0.015490504790848902,0.003432980167237698,0.013196325056616498,-0.024480498576648246,1.0,16.0
0.11809337593053248,0.0008256455846300526,0.0006289307342135508,0.00846940894677406,0.005236670745405458,0.0013600850185668811,0.01865404882510857,0.002858035495714173,0.01173794252494087,0.028908023314723863,0.0,17.0
0.29073442091394996,0.0008256455846300526,0.0006289307342135508,0.00846940894677406,0.005236670745405458,0.0013600850185668811,0.01865404882510857,0.002858035495714173,0.01173794252494087,0.028908023314723863,1.0,17.0
0.12333982150035583,0.0008360230493078546,0.0004961913499306192,0.00922881782516427,0.005457705289288128,0.0015037511232236511,0.01440922797408506,0.0026955162200037464,0.0071285851775755305,0.02480126483833134,0.0,18.0
0.2459633955958398,0.0008360230493078546,0.0004961913499306192,0.00922881782516427,0.005457705289288128,0.0015037511232236511,0.01440922797408506,0.0026955162200037464,0.0071285851775755305,0.02480126483833134,1.0,18.0
0.1340042666234651,0.000877474133074152,0.0006052917571857108,0.007638594248480235,0.002254656079752948,0.0015614462805588758,0.010969474640971644,0.0033801200399143916,0.0052653306601340155,0.00472182886867234,0.0,19.0
0.2191234652285936,0.000877474133074152,0.0006052917571857108,0.007638594248480235,0.002254656079752948,0.0015614462805588758,0.010969474640971644,0.0033801200399143916,0.0052653306601340155,0.00472182886867234,1.0,19.0
