poisson_1,label,id
-21.045832980203613,0.0,1.0
-59.59423589476273,1.0,1.0
-18.57582705523282,0.0,2.0
-58.25577978625006,1.0,2.0
-18.466043761691708,0.0,3.0
-57.53314885038935,1.0,3.0
-26.833760632738176,0.0,4.0
-65.2937482277298,1.0,4.0
-42.52680262481772,0.0,5.0
-81.92863334480171,1.0,5.0
-29.155317962981826,0.0,6.0
-78.33521139826325,1.0,6.0
-21.022513949004406,0.0,7.0
-87.0769663171568,1.0,7.0
-21.2920080525073,0.0,8.0
-37.74548666969122,1.0,8.0
-23.942182237754423,0.0,9.0
-38.14403344662787,1.0,9.0
-20.83005109830583,0.0,10.0
-36.279580361921944,1.0,10.0
-27.31423253160574,0.0,11.0
-39.84383960789046,1.0,11.0
-46.75560934998157,0.0,12.0
-65.53876265710824,1.0,12.0
-33.562194482407904,0.0,13.0
-52.990990797587074,1.0,13.0
-23.939470230751795,0.0,14.0
-36.38669124156422,1.0,14.0
-20.463953441703325,0.0,15.0
-25.83881509092089,1.0,15.0
-19.478020606296923,0.0,16.0
-27.57018658219522,1.0,16.0
-21.17698411417132,0.0,17.0
-29.403801018372633,1.0,17.0
-31.93072620419889,0.0,18.0
-40.01043582579041,1.0,18.0
-52.12803386375981,0.0,19.0
-60.07684009514742,1.0,19.0
-27.222116717804965,0.0,20.0
-33.83068901938168,1.0,20.0
-19.881819704629834,0.0,21.0
-25.78443792698181,1.0,21.0
-21.513425903666302,0.0,22.0
-29.21448733432544,1.0,22.0
-18.016950217685917,0.0,23.0
-22.759899486369704,1.0,23.0
-21.402986300842258,0.0,24.0
-28.68962561775561,1.0,24.0
-27.88453099880462,0.0,25.0
-32.20526457571941,1.0,25.0
-52.07178380234927,0.0,26.0
-56.62011559799248,1.0,26.0
-27.94278626470441,0.0,27.0
-32.73753737341076,1.0,27.0
-20.43668357150318,0.0,28.0
-29.472137462342744,1.0,28.0
-17.587661342807678,0.0,29.0
-33.273609506748016,1.0,29.0
