poisson_1,label,id
-21.49458314207459,0.0,1.0
-31.420780175026266,1.0,1.0
-18.551702401079638,0.0,2.0
-24.176229473812782,1.0,2.0
-19.807884930761247,0.0,3.0
-27.725737072602897,1.0,3.0
-20.37090163572566,0.0,4.0
-27.369193261501096,1.0,4.0
-39.33142753463926,0.0,5.0
-46.29569310712077,1.0,5.0
-28.02547877236566,0.0,6.0
-36.193743939335036,1.0,6.0
-18.019047678972584,0.0,7.0
-25.86027302047478,1.0,7.0
-16.01645016020848,0.0,8.0
-27.043616653356366,1.0,8.0
-14.561673116278143,0.0,9.0
-24.65322521612643,1.0,9.0
-16.347792839781732,0.0,10.0
-26.20505919125003,1.0,10.0
-20.26692248072959,0.0,11.0
-31.055213783939507,1.0,11.0
-34.27138375054756,0.0,12.0
-45.50889299385426,1.0,12.0
-20.24168055215432,0.0,13.0
-31.48650022873926,1.0,13.0
-15.4918871704283,0.0,14.0
-25.03103870591235,1.0,14.0
-15.135161166036596,0.0,15.0
-31.44267618862159,1.0,15.0
-20.10854519008808,0.0,16.0
-33.5525667507452,1.0,16.0
-18.16758031901759,0.0,17.0
-32.172088313557424,1.0,17.0
-24.84525346683222,0.0,18.0
-38.45920622092808,1.0,18.0
-42.90623726256581,0.0,19.0
-60.10391173876087,1.0,19.0
-29.199300233727627,0.0,20.0
-47.900136311794995,1.0,20.0
-18.187598967994745,0.0,21.0
-33.999868176416385,1.0,21.0
-17.771971995817694,0.0,22.0
-25.41566925457164,1.0,22.0
-18.559975196950973,0.0,23.0
-27.43145421897384,1.0,23.0
-19.196935846219276,0.0,24.0
-26.42186920021345,1.0,24.0
-23.34648406429642,0.0,25.0
-32.1849666979283,1.0,25.0
-36.97192706573651,0.0,26.0
-46.17302399831715,1.0,26.0
-21.911923188980836,0.0,27.0
-31.286430723685953,1.0,27.0
-18.542966131511093,0.0,28.0
-25.595050523961163,1.0,28.0
-15.338238751613517,0.0,29.0
-34.497144102937455,1.0,29.0
-15.633411867786435,0.0,30.0
-43.587050018979426,1.0,30.0
-14.78945681882442,0.0,31.0
-40.04389450318581,1.0,31.0
-22.289382786732403,0.0,32.0
-51.32631161833251,1.0,32.0
-33.58934614747022,0.0,33.0
-50.68607414447797,1.0,33.0
-23.095824933550375,0.0,34.0
-41.06161379118839,1.0,34.0
-15.00233409719067,0.0,35.0
-40.1942628015222,1.0,35.0
-19.348933112437408,0.0,36.0
