poisson_1,label,id
-20.1837257327893,0.0,1.0
-21.75571312535294,1.0,1.0
-17.248759471498488,0.0,2.0
-17.85999646126811,1.0,2.0
-16.459433523726148,0.0,3.0
-17.349269499457023,1.0,3.0
-21.618647460571538,0.0,4.0
-23.872894871985864,1.0,4.0
-45.210034872794495,0.0,5.0
-47.40423362753154,1.0,5.0
-30.67420987973992,0.0,6.0
-31.40366121705847,1.0,6.0
-17.88275659814235,0.0,7.0
-18.5206229593241,1.0,7.0
-16.474403616225572,0.0,8.0
-25.16991140064283,1.0,8.0
-17.598023676275716,0.0,9.0
-28.698383297286455,1.0,9.0
-17.615721426220716,0.0,10.0
-27.20185184312004,1.0,10.0
-24.899449423964597,0.0,11.0
-36.782152101774045,1.0,11.0
-48.13257425679967,0.0,12.0
-61.98796253095861,1.0,12.0
-28.223131929782994,0.0,13.0
-37.93545017177121,1.0,13.0
-18.504490055284805,0.0,14.0
-30.772905577854544,1.0,14.0
-22.514158438678805,0.0,15.0
-26.48522844568606,1.0,15.0
-18.717321779644863,0.0,16.0
-22.76888019044509,1.0,16.0
-21.989605246306382,0.0,17.0
-32.09345922534885,1.0,17.0
-28.807017697785795,0.0,18.0
-40.13977511702751,1.0,18.0
-43.232948481561834,0.0,19.0
-57.46953604969622,1.0,19.0
-29.253096665213434,0.0,20.0
-35.582393603084256,1.0,20.0
-16.7435907327922,0.0,21.0
-20.804119896643897,1.0,21.0
-14.736995201108584,0.0,22.0
-24.72183921146643,1.0,22.0
-15.893354787955559,0.0,23.0
-25.826226270364714,1.0,23.0
-16.06099660915538,0.0,24.0
-29.431633329484157,1.0,24.0
-21.274992636234856,0.0,25.0
-37.720800957831216,1.0,25.0
-32.56237415210262,0.0,26.0
-55.03581918274131,1.0,26.0
-24.861887326037504,0.0,27.0
-42.39847521551155,1.0,27.0
-14.163419920983415,0.0,28.0
-26.858468055428148,1.0,28.0
-19.3129441956994,0.0,29.0
-48.72544353215426,1.0,29.0
-16.50126921422043,0.0,30.0
-38.69934797625319,1.0,30.0
-16.71295842842983,0.0,31.0
-41.46280684989506,1.0,31.0
-23.846957577145076,0.0,32.0
-49.35693886367244,1.0,32.0
-45.83763152660049,0.0,33.0
-70.4481499353933,1.0,33.0
-30.647997032954663,0.0,34.0
-55.572150520358264,1.0,34.0
-19.129222432583447,0.0,35.0
-51.92000286934763,1.0,35.0
-13.873476736492648,0.0,36.0
-32.29832292389938,1.0,36.0
-16.184725842699663,0.0,37.0
-41.7376865887627,1.0,37.0
-15.66345954478129,0.0,38.0
-38.82061108426251,1.0,38.0
-24.55795912691974,0.0,39.0
-51.95828914428466,1.0,39.0
-41.14052355139847,0.0,40.0
-59.114680700771714,1.0,40.0
-24.867924743910862,0.0,41.0
-43.58428433754443,1.0,41.0
-17.571021832736278,0.0,42.0
-40.91001695243267,1.0,42.0
-18.084401578737925,0.0,43.0
-24.27060305629402,1.0,43.0
-13.512153385362126,0.0,44.0
-19.387597416934568,1.0,44.0
-17.006750643306077,0.0,45.0
-26.086923772003956,1.0,45.0
-22.636830001894396,0.0,46.0
-33.793072522973944,1.0,46.0
-39.58120559538838,0.0,47.0
-46.86359003045254,1.0,47.0
-24.397121916712422,0.0,48.0
-30.87177696763092,1.0,48.0
-16.517252110843856,0.0,49.0
-25.79217239026184,1.0,49.0
-20.55607618146996,0.0,50.0
-29.249074971464324,1.0,50.0
-18.400799878332236,0.0,51.0
-22.97746497145954,1.0,51.0
-17.81936301554697,0.0,52.0
-21.077342137985852,1.0,52.0
-28.511874583555255,0.0,53.0
-37.44901448774681,1.0,53.0
-46.462379018225874,0.0,54.0
-55.26889317963651,1.0,54.0
-30.683989614851725,0.0,55.0
-38.23943583376513,1.0,55.0
