poisson_1,label,id
-16.441622871283016,0.0,1.0
-35.42215640454015,1.0,1.0
-18.055277576886056,0.0,2.0
-28.524080413914817,1.0,2.0
-19.843605271645174,0.0,3.0
-27.11479868123979,1.0,3.0
-27.98399484582933,0.0,4.0
-50.011441589293554,1.0,4.0
-40.824215955747604,0.0,5.0
-61.51097312163802,1.0,5.0
-27.827844151744102,0.0,6.0
-45.733435066450056,1.0,6.0
-16.410412151823948,0.0,7.0
-33.76904649222797,1.0,7.0
-13.328684540753784,0.0,8.0
-22.504185381436855,1.0,8.0
-14.211120531732831,0.0,9.0
-27.878013835454567,1.0,9.0
-15.046761387219476,0.0,10.0
-26.640611298589647,1.0,10.0
-17.80321511969737,0.0,11.0
-33.212607984123906,1.0,11.0
-28.97523945850662,0.0,12.0
-47.4286143779691,1.0,12.0
-17.218594270271296,0.0,13.0
-30.992975014071817,1.0,13.0
-12.940303711549404,0.0,14.0
-23.433720893200643,1.0,14.0
-17.69142088951571,0.0,15.0
-29.872074862082172,1.0,15.0
-19.12451134301864,0.0,16.0
-30.423260547385553,1.0,16.0
-18.994712912599653,0.0,17.0
-29.374866066691766,1.0,17.0
-20.536283847298364,0.0,18.0
-32.58155670952942,1.0,18.0
-26.427323414280636,0.0,19.0
-39.90592152099816,1.0,19.0
-21.36775590027446,0.0,20.0
-34.79685045138103,1.0,20.0
-14.48820275041453,0.0,21.0
-24.929997087012453,1.0,21.0
-18.55123064214854,0.0,22.0
-28.933426277614217,1.0,22.0
-17.651822397525166,0.0,23.0
-30.19805428498489,1.0,23.0
-17.1465149275017,0.0,24.0
-28.406841824423623,1.0,24.0
-23.190478717967835,0.0,25.0
-35.69544652504305,1.0,25.0
-27.059535104966926,0.0,26.0
-33.85425379077833,1.0,26.0
-18.78561536325833,0.0,27.0
-26.045654283904696,1.0,27.0
-13.997031420722806,0.0,28.0
-24.887428178404207,1.0,28.0
-13.257597106459798,0.0,29.0
-26.08872176317891,1.0,29.0
-18.669897703379775,0.0,30.0
-30.103011899668104,1.0,30.0
-17.26156850375355,0.0,31.0
-27.14258542698451,1.0,31.0
-21.22890221652733,0.0,32.0
-33.41364336374568,1.0,32.0
-40.318527893594364,0.0,33.0
-64.1085017394239,1.0,33.0
-24.942982040854986,0.0,34.0
-34.62578340806658,1.0,34.0
-17.2007587899775,0.0,35.0
-27.88063190238495,1.0,35.0
-18.29460380944738,0.0,36.0
-32.20434490963362,1.0,36.0
-19.181573958530862,0.0,37.0
-34.15111103268828,1.0,37.0
-20.639039193917597,0.0,38.0
-35.794926012241376,1.0,38.0
-27.953773449094342,0.0,39.0
-43.90160327972035,1.0,39.0
-39.722794837525726,0.0,40.0
-50.26257225514564,1.0,40.0
