Feature,Check Meter Config,Dataset,Solver,Activation,Batch Size,LR
Poisson Deviance,C3,5,adam,relu,32,0.01
Poisson Deviance,C4,1,adam,relu,64,0.01
Poisson Deviance,C4,2,adam,relu,32,0.01
Poisson Deviance,C4,3,adam,relu,32,0.01
Poisson Deviance,C4,4,adam,relu,64,0.001
Poisson Deviance,C4,5,adam,relu,32,0.001
Poisson Deviance,C5,1,adam,relu,32,0.001
Poisson Deviance,C5,2,adam,relu,64,0.01
Poisson Deviance,C5,3,adam,relu,64,0.01
Poisson Deviance,C5,4,adam,relu,64,0.01
Poisson Deviance,C5,5,adam,relu,32,0.001
Poisson Deviance,C6,1,adam,relu,64,0.001
Poisson Deviance,C6,2,adam,relu,32,0.01
Poisson Deviance,C6,3,adam,relu,64,0.1
Poisson Deviance,C6,4,adam,relu,64,0.1
Poisson Deviance,C6,5,adam,relu,64,0.001
