gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,label,id
0.050081820896714646,0.01521475882594192,0.003571029360141864,0.005116256461429991,0.002934770044441759,0.0,1.0
0.09147858983216128,0.01521475882594192,0.003571029360141864,0.005116256461429991,0.002934770044441759,1.0,1.0
0.04877760113243035,0.017308057452620318,0.003721125195900399,0.006501310984443176,0.003651819349549612,0.0,2.0
0.07491440846425768,0.017308057452620318,0.003721125195900399,0.006501310984443176,0.003651819349549612,1.0,2.0
0.060789637308553246,0.0174305870511704,0.004322892613985108,0.007081305583430453,0.0037934302951581067,0.0,3.0
0.1060893754715102,0.0174305870511704,0.004322892613985108,0.007081305583430453,0.0037934302951581067,1.0,3.0
0.06212750039807746,0.017130722591131242,0.003595112033621284,0.0058420676939925364,0.0031800777862258656,0.0,4.0
0.10109800388649859,0.017130722591131242,0.003595112033621284,0.0058420676939925364,0.0031800777862258656,1.0,4.0
0.07474316960027094,0.02288078169504315,0.004114547793632628,0.006827127550741441,0.003565305933005636,0.0,5.0
0.09921903618479089,0.02288078169504315,0.004114547793632628,0.006827127550741441,0.003565305933005636,1.0,5.0
0.05560598088478308,0.01952443138949178,0.004550760053343428,0.005024982008265955,0.0023767214537770975,0.0,6.0
0.08508881312501027,0.01952443138949178,0.004550760053343428,0.005024982008265955,0.0023767214537770975,1.0,6.0
0.05257535431922866,0.01352415993444378,0.003482892325600062,0.0055408062318274,0.0026844397657055374,0.0,7.0
0.09452118087675299,0.01352415993444378,0.003482892325600062,0.0055408062318274,0.0026844397657055374,1.0,7.0
0.028248396773943973,0.022544927251918256,0.003265575571789192,0.011132384516302718,0.003912572974713147,0.0,8.0
0.06354814009981702,0.022544927251918256,0.003265575571789192,0.011132384516302718,0.003912572974713147,1.0,8.0
0.026219149826172128,0.04571968701836182,0.0030144970083623157,0.01433389760098791,0.004444168784629721,0.0,9.0
0.057834801088967325,0.04571968701836182,0.0030144970083623157,0.01433389760098791,0.004444168784629721,1.0,9.0
0.03235195070149288,0.10692638148780631,0.0034950597561609342,0.020180536726875253,0.004523887527119186,0.0,10.0
0.0678961450620661,0.10692638148780631,0.0034950597561609342,0.020180536726875253,0.004523887527119186,1.0,10.0
0.03043310470099314,0.05947413611578689,0.004080819099465227,0.011179178301257586,0.003914721572123803,0.0,11.0
0.05907726986947237,0.05947413611578689,0.004080819099465227,0.011179178301257586,0.003914721572123803,1.0,11.0
0.036024592300361036,0.02660739692243741,0.002906427444134607,0.011142835774401672,0.004565395115664561,0.0,12.0
0.0559105746380375,0.02660739692243741,0.002906427444134607,0.011142835774401672,0.004565395115664561,1.0,12.0
0.029099353885338797,0.016603650813256543,0.002384062341225235,0.007607982272092695,0.0029470331175209807,0.0,13.0
0.05560542334580898,0.016603650813256543,0.002384062341225235,0.007607982272092695,0.0029470331175209807,1.0,13.0
0.03660936607393639,0.03356641553713979,0.0038128415902662915,0.016143659793900866,0.003740115970721991,0.0,14.0
0.0799748419282067,0.03356641553713979,0.0038128415902662915,0.016143659793900866,0.003740115970721991,1.0,14.0
0.0402977952338075,0.008733415127643251,0.0037219757303303957,0.004154037878256744,0.007860609191905787,0.0,15.0
0.12092179637094524,0.008733415127643251,0.0037219757303303957,0.004154037878256744,0.007860609191905787,1.0,15.0
0.05063129422221957,0.012268164791732428,0.005796836606825284,0.009048240890248138,0.04305161057535756,0.0,16.0
0.11748192676087266,0.012268164791732428,0.005796836606825284,0.009048240890248138,0.04305161057535756,1.0,16.0
0.052342401544693384,0.012004077461315266,0.005844286334025117,0.008324181026500455,0.016482967155790007,0.0,17.0
0.13424432113341123,0.012004077461315266,0.005844286334025117,0.008324181026500455,0.016482967155790007,1.0,17.0
0.05793264306258994,0.014987917781712046,0.006132955367776027,0.007326219092241626,0.010081382103752201,0.0,18.0
0.12144502904597188,0.014987917781712046,0.006132955367776027,0.007326219092241626,0.010081382103752201,1.0,18.0
