gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,label,id
0.059306522627198266,0.013660048574079653,0.00222762242389285,0.007188252079094237,0.0039235709155596155,0.0,1.0
0.19623594673407796,0.013660048574079653,0.00222762242389285,0.007188252079094237,0.0039235709155596155,1.0,1.0
0.1562788480709294,0.01769714225868979,0.0032668246511220467,0.011584523548135994,0.004708546722499207,0.0,2.0
0.3637849301665317,0.01769714225868979,0.0032668246511220467,0.011584523548135994,0.004708546722499207,1.0,2.0
0.12106885812587942,0.01791952684173248,0.002724028081187324,0.013204647187944119,0.005360550718041424,0.0,3.0
0.20979483439590396,0.01791952684173248,0.002724028081187324,0.013204647187944119,0.005360550718041424,1.0,3.0
0.1509371178380574,0.022390156385372784,0.003878339921760343,0.009793931467490857,0.004297524531431396,0.0,4.0
0.4468324751976942,0.022390156385372784,0.003878339921760343,0.009793931467490857,0.004297524531431396,1.0,4.0
0.11862356911266758,0.015181490992627555,0.004615069672392114,0.005488706951449096,0.0030549245352369248,0.0,5.0
0.2408207792951207,0.015181490992627555,0.004615069672392114,0.005488706951449096,0.0030549245352369248,1.0,5.0
0.10469829136411146,0.017061864832978113,0.003765802733497914,0.005282556878186462,0.0025519757289016454,0.0,6.0
0.24885493336895115,0.017061864832978113,0.003765802733497914,0.005282556878186462,0.0025519757289016454,1.0,6.0
0.2054529428587415,0.013376068892917203,0.0031348998906173264,0.010057756807740681,0.004089479895382553,0.0,7.0
0.9402738175352496,0.013376068892917203,0.0031348998906173264,0.010057756807740681,0.004089479895382553,1.0,7.0
0.043365101672444784,0.013720025450988604,0.0022092594263796173,0.004395028069430484,0.004576864396434122,0.0,8.0
0.09417739951457182,0.013720025450988604,0.0022092594263796173,0.004395028069430484,0.004576864396434122,1.0,8.0
0.04931033695115472,0.02703969006083007,0.0032916126433004678,0.0064380435829201055,0.0055453971584107364,0.0,9.0
0.13358725250198145,0.02703969006083007,0.0032916126433004678,0.0064380435829201055,0.0055453971584107364,1.0,9.0
0.07695405036745662,0.027643069343958437,0.0038492502181579624,0.0059278813209600045,0.012161535026132153,0.0,10.0
0.19076129746070247,0.027643069343958437,0.0038492502181579624,0.0059278813209600045,0.012161535026132153,1.0,10.0
0.06273247466443488,0.025005912142361364,0.004441352872210924,0.005436506883492953,0.01063618199003491,0.0,11.0
