gamma_1,gamma_2,label,id
0.02390823453537383,0.004038286660055235,0.0,1.0
0.03695967081019891,0.004038286660055235,1.0,1.0
0.02559785499686873,0.00513949834085814,0.0,2.0
0.03474418551940728,0.00513949834085814,1.0,2.0
0.027144177592378416,0.005371969582306679,0.0,3.0
0.03997020875063173,0.005371969582306679,1.0,3.0
0.028627482715187114,0.0045566431414538755,0.0,4.0
0.040366170539579915,0.0045566431414538755,1.0,4.0
0.03464215282637051,0.00502546219641431,0.0,5.0
0.04206022697343581,0.00502546219641431,1.0,5.0
0.02588188223198129,0.003707537708265818,0.0,6.0
0.03459427720315045,0.003707537708265818,1.0,6.0
0.022453201371253506,0.004385308429073476,0.0,7.0
0.03385945755015385,0.004385308429073476,1.0,7.0
0.02036151008045639,0.006046413285087038,0.0,8.0
0.03813411410672751,0.006046413285087038,1.0,8.0
0.02377608653528762,0.007195945067226095,0.0,9.0
0.04457250075012231,0.007195945067226095,1.0,9.0
0.028816493643968766,0.00799680949064685,0.0,10.0
0.051127438145737614,0.00799680949064685,1.0,10.0
0.027091486388456598,0.005905206250252704,0.0,11.0
0.04541663717202438,0.005905206250252704,1.0,11.0
0.02820005641429102,0.006578876108974452,0.0,12.0
0.039994134431722284,0.006578876108974452,1.0,12.0
0.021093164825866317,0.004401322222447934,0.0,13.0
0.03548672840538858,0.004401322222447934,1.0,13.0
0.029161895184840247,0.006583287548069805,0.0,14.0
0.05328424723688174,0.006583287548069805,1.0,14.0
0.0180170263431898,0.005016908334422698,0.0,15.0
0.04158471142074349,0.005016908334422698,1.0,15.0
0.023964007622179206,0.013483059075486636,0.0,16.0
0.04417552289587334,0.013483059075486636,1.0,16.0
0.024065044734376873,0.010420207320361197,0.0,17.0
0.047988804139999175,0.010420207320361197,1.0,17.0
0.02932156445710543,0.007976714330772516,0.0,18.0
0.05030276803384126,0.007976714330772516,1.0,18.0
0.03180595926934515,0.00603107248588719,0.0,19.0
0.04724970860164257,0.00603107248588719,1.0,19.0
0.026811103707108153,0.004939346895202146,0.0,20.0
0.04764709424649771,0.004939346895202146,1.0,20.0
0.023023760713174468,0.009036263659719435,0.0,21.0
0.04949161566239724,0.009036263659719435,1.0,21.0
0.023560029798532778,0.008855543751328021,0.0,22.0
0.03687619160579203,0.008855543751328021,1.0,22.0
0.030012037707114025,0.02165251808301294,0.0,23.0
0.050309172091627996,0.02165251808301294,1.0,23.0
0.03488033288605186,0.017215285257611956,0.0,24.0
0.052858669821501,0.017215285257611956,1.0,24.0
0.02736888395581083,0.014825531607831621,0.0,25.0
0.04126736319662161,0.014825531607831621,1.0,25.0
0.03181468611611926,0.0048882300234640574,0.0,26.0
0.04111634108338169,0.0048882300234640574,1.0,26.0
0.023137579826609134,0.0037531880053074396,0.0,27.0
0.03483307852570228,0.0037531880053074396,1.0,27.0
0.026239854512586813,0.010872410178542236,0.0,28.0
0.03941966712947975,0.010872410178542236,1.0,28.0
0.019240629632182316,0.002824258231953536,0.0,29.0
0.047553703367560374,0.002824258231953536,1.0,29.0
0.023300828275444996,0.004593850141243916,0.0,30.0
0.07565721868168573,0.004593850141243916,1.0,30.0
0.023638723903656178,0.004543150044822752,0.0,31.0
