gamma_1,gamma_2,label,id
0.020873662779625324,0.005189480950299696,0.0,1.0
0.05039664199342564,0.005189480950299696,1.0,1.0
0.030562347994036454,0.007439886826440034,0.0,2.0
0.051735812602621944,0.007439886826440034,1.0,2.0
0.03030397415196351,0.008247325370266623,0.0,3.0
0.043776206111080906,0.008247325370266623,1.0,3.0
0.03560838739474681,0.006632241608479195,0.0,4.0
0.0703077506218861,0.006632241608479195,1.0,4.0
0.03035552467410474,0.0041786727762795906,0.0,5.0
0.04825359372638438,0.0041786727762795906,1.0,5.0
0.027326371863245047,0.0037830529382198996,0.0,6.0
0.04809334113207031,0.0037830529382198996,1.0,6.0
0.023765056051328504,0.006405152970645034,0.0,7.0
0.05400459060410645,0.006405152970645034,1.0,7.0
0.021727120694083002,0.004167077695850008,0.0,8.0
0.03970130514265602,0.004167077695850008,1.0,8.0
0.03021392772581777,0.005726762661636631,0.0,9.0
0.06599551314011176,0.005726762661636631,1.0,9.0
0.03584006108931792,0.006723530653837795,0.0,10.0
0.06988741857076075,0.006723530653837795,1.0,10.0
0.03274209919067772,0.0059732648062631455,0.0,11.0
0.06806005666802006,0.0059732648062631455,1.0,11.0
0.02606998227775925,0.004824053802178874,0.0,12.0
0.04575580459389128,0.004824053802178874,1.0,12.0
0.01974340369066052,0.0039921744089652655,0.0,13.0
0.03865093367912209,0.0039921744089652655,1.0,13.0
0.02478019649033758,0.006746297550020319,0.0,14.0
0.04889613726702979,0.006746297550020319,1.0,14.0
0.029017527461166814,0.004165318020665776,0.0,15.0
0.052646328413826105,0.004165318020665776,1.0,15.0
0.03808068041828694,0.0098553434623323,0.0,16.0
0.06544118047201541,0.0098553434623323,1.0,16.0
0.04192813003306073,0.00852845084185061,0.0,17.0
0.07013098994231148,0.00852845084185061,1.0,17.0
0.04049218597253201,0.008472796007920724,0.0,18.0
0.07054196379104916,0.008472796007920724,1.0,18.0
0.026419444370028966,0.005297746386546898,0.0,19.0
0.0427527009149542,0.005297746386546898,1.0,19.0
0.0246595776364833,0.004719276601763411,0.0,20.0
0.04347725380851308,0.004719276601763411,1.0,20.0
0.034750250790557935,0.006956171814760381,0.0,21.0
0.06593057508130018,0.006956171814760381,1.0,21.0
0.03116777095308798,0.006224499956526852,0.0,22.0
0.052440264529423075,0.006224499956526852,1.0,22.0
0.05454517545915083,0.009915583953941098,0.0,23.0
0.10599321338579193,0.009915583953941098,1.0,23.0
0.0692997151439334,0.00992097860553276,0.0,24.0
0.13224197805946325,0.00992097860553276,1.0,24.0
0.052422811152960325,0.012514992125121971,0.0,25.0
0.09040506275124782,0.012514992125121971,1.0,25.0
0.03185419820220403,0.006729941803111483,0.0,26.0
0.041899373353707414,0.006729941803111483,1.0,26.0
0.023824879595491844,0.00460796609251668,0.0,27.0
0.034900913569314795,0.00460796609251668,1.0,27.0
0.03478122544547002,0.00963990532400194,0.0,28.0
0.06938806251626284,0.00963990532400194,1.0,28.0
0.022922082473674443,0.005447365935996373,0.0,29.0
0.050058618528382226,0.005447365935996373,1.0,29.0
0.0450549136212226,0.02040272160390355,0.0,30.0
0.08050857261705335,0.02040272160390355,1.0,30.0
0.05076558056726066,0.014981604386617775,0.0,31.0
0.08856368083505606,0.014981604386617775,1.0,31.0
0.04419720951913586,0.013422117632120756,0.0,32.0
0.0775824804375791,0.013422117632120756,1.0,32.0
0.03891711009343579,0.0061688838778213295,0.0,33.0
