poisson_1,poisson_2,poisson_3,poisson_4,poisson_5,poisson_6,poisson_7,poisson_8,poisson_9,poisson_10,label,id
-16.308770965002395,-0.22815744008835281,-0.04950602179940233,-1.591614615786625,-0.27862852835431795,-0.13654588896105224,-1.1813238613598287,-0.2643137112560794,-0.36912817230410155,-0.24683770420045903,0.0,1.0
-50.04651991615191,-0.22815744008835281,-0.04950602179940233,-1.591614615786625,-0.27862852835431795,-0.13654588896105224,-1.1813238613598287,-0.2643137112560794,-0.36912817230410155,-0.24683770420045903,1.0,1.0
-14.190537822413944,-0.2237908913794513,-0.058124974988004396,-1.4883800440886148,-0.40238159706049714,-0.2782967495967341,-0.8332888361117625,-0.2106809136956258,-0.3476808013093944,-0.2232341782443541,0.0,2.0
-48.64197164809963,-0.2237908913794513,-0.058124974988004396,-1.4883800440886148,-0.40238159706049714,-0.2782967495967341,-0.8332888361117625,-0.2106809136956258,-0.3476808013093944,-0.2232341782443541,1.0,2.0
-14.414101073893562,-0.2618611658693908,-0.08273453481621118,-1.2289264630333037,-0.19969688876335567,-0.1043749847620461,-0.9232746081359551,-0.2138552754403804,-0.4171462176697389,-0.30285592915998905,0.0,3.0
-48.58851788235853,-0.2618611658693908,-0.08273453481621118,-1.2289264630333037,-0.19969688876335567,-0.1043749847620461,-0.9232746081359551,-0.2138552754403804,-0.4171462176697389,-0.30285592915998905,1.0,3.0
-20.839803096692094,-0.573188454386468,-0.06717378538138519,-1.95810112176639,-0.40053879170105233,-0.263771622672607,-1.2670326484198995,-0.202415263389355,-0.35636056542278993,-0.22103741017207312,0.0,4.0
-53.55333554819572,-0.573188454386468,-0.06717378538138519,-1.95810112176639,-0.40053879170105233,-0.263771622672607,-1.2670326484198995,-0.202415263389355,-0.35636056542278993,-0.22103741017207312,1.0,4.0
-33.13712460881277,-0.4389316364793103,-0.23052475916614412,-3.592753812959927,-0.8156364587300686,-0.38301539468017154,-1.7918590321256715,-0.29698125410169496,-0.6201484416730523,-0.2946112356996764,0.0,5.0
-68.53047663016878,-0.4389316364793103,-0.23052475916614412,-3.592753812959927,-0.8156364587300686,-0.38301539468017154,-1.7918590321256715,-0.29698125410169496,-0.6201484416730523,-0.2946112356996764,1.0,5.0
