poisson_1,poisson_2,poisson_3,poisson_4,poisson_5,poisson_6,poisson_7,poisson_8,poisson_9,poisson_10,label,id
-15.872687976741815,-0.09672277525578465,-0.1376638006022688,-1.96456396424378,-0.42931717959777416,-0.07508062214695599,-1.1434097036953972,-0.58337809185889,-0.37656236117831554,-0.25642087717591266,0.0,1.0
-24.806478385003516,-0.09672277525578465,-0.1376638006022688,-1.96456396424378,-0.42931717959777416,-0.07508062214695599,-1.1434097036953972,-0.58337809185889,-0.37656236117831554,-0.25642087717591266,1.0,1.0
-13.672870253410537,-0.11842224888908959,-0.08895616297708386,-1.7266678140881027,-0.31162743829105466,-0.08222402174077104,-1.0697690887000846,-0.4507614816446335,-0.37871974413360476,-0.12324572314125248,0.0,2.0
-18.73925011496965,-0.11842224888908959,-0.08895616297708386,-1.7266678140881027,-0.31162743829105466,-0.08222402174077104,-1.0697690887000846,-0.4507614816446335,-0.37871974413360476,-0.12324572314125248,1.0,2.0
-14.306784736224728,-0.08486656062731868,-0.15866266304891496,-1.9468132044522122,-0.41185102075104396,-0.12604760405960747,-1.0363576924158338,-0.43975225783924543,-0.40594148925663376,-0.20163939441249568,0.0,3.0
-21.176940038993962,-0.08486656062731868,-0.15866266304891496,-1.9468132044522122,-0.41185102075104396,-0.12604760405960747,-1.0363576924158338,-0.43975225783924543,-0.40594148925663376,-0.20163939441249568,1.0,3.0
-14.915977602846482,-0.07698417249218892,-0.14748458949048882,-1.8450884214797156,-0.2682313859088765,-0.08549842250580753,-1.2145359155514086,-0.524181351274251,-0.47026665199496165,-0.12478623461674943,0.0,4.0
-21.047899699485356,-0.07698417249218892,-0.14748458949048882,-1.8450884214797156,-0.2682313859088765,-0.08549842250580753,-1.2145359155514086,-0.524181351274251,-0.47026665199496165,-0.12478623461674943,1.0,4.0
-27.87609202979843,-0.20936299958742666,-0.19335686136906816,-3.588453784240073,-0.635180112030298,-0.10484467966776378,-2.512763810918784,-0.8804220521913066,-1.057136522999258,-0.46010346184817763,0.0,5.0
-33.76838556261032,-0.20936299958742666,-0.19335686136906816,-3.588453784240073,-0.635180112030298,-0.10484467966776378,-2.512763810918784,-0.8804220521913066,-1.057136522999258,-0.46010346184817763,1.0,5.0
-20.302403455165347,-0.12205783504657575,-0.1453534724115002,-3.0759838375661843,-0.8411468182202384,-0.15169344650342964,-1.342267378402994,-0.5741110028196772,-0.49513324323567076,-0.1585291891495899,0.0,6.0
-27.631224169972427,-0.12205783504657575,-0.1453534724115002,-3.0759838375661843,-0.8411468182202384,-0.15169344650342964,-1.342267378402994,-0.5741110028196772,-0.49513324323567076,-0.1585291891495899,1.0,6.0
