gamma_1,label,id
0.012191993087103281,0.0,1.0
0.03577191607179353,1.0,1.0
0.011537145835895046,0.0,2.0
0.037631286712875855,1.0,2.0
0.011166084720359404,0.0,3.0
0.03612301566483378,1.0,3.0
0.01424348994672231,0.0,4.0
0.035800597518591104,1.0,4.0
0.018129857629966217,0.0,5.0
0.03586930246407638,1.0,5.0
0.014299173621241668,0.0,6.0
0.03992466568321795,1.0,6.0
0.011869892139601212,0.0,7.0
0.05221057658196715,1.0,7.0
0.012697710958532227,0.0,8.0
0.022860447900307168,1.0,8.0
0.013795444508941213,0.0,9.0
0.02226322530696878,1.0,9.0
0.012263315165056188,0.0,10.0
0.02166690960072115,1.0,10.0
0.014306539180147126,0.0,11.0
0.021085489993167172,1.0,11.0
0.019593938511718534,0.0,12.0
0.02780752862725011,1.0,12.0
0.016899156962441264,0.0,13.0
0.02709617708273271,1.0,13.0
0.013207388823513355,0.0,14.0
0.020292269253932904,1.0,14.0
0.012069120138787692,0.0,15.0
0.015314936526703793,1.0,15.0
0.011812687430102109,0.0,16.0
0.016849493682355554,1.0,16.0
0.012478261598543039,0.0,17.0
0.017458047998570425,1.0,17.0
0.01607469902684322,0.0,18.0
0.02027107078048962,1.0,18.0
0.021361693355726796,0.0,19.0
0.024745033367273184,1.0,19.0
0.013958548324259024,0.0,20.0
0.0174395388768942,1.0,20.0
0.011643966091132274,0.0,21.0
0.015182900544044031,1.0,21.0
0.012571610192471994,0.0,22.0
0.017192711467771904,1.0,22.0
0.011667668592831415,0.0,23.0
0.01481025470208408,1.0,23.0
0.012610232789725728,0.0,24.0
0.01701754458623661,1.0,24.0
0.014891207115957705,0.0,25.0
0.017260850003015804,1.0,25.0
0.02123911041822124,0.0,26.0
0.02316144483779281,1.0,26.0
0.01417840643497481,0.0,27.0
0.0166746960805515,1.0,27.0
0.012182154050754956,0.0,28.0
0.017717231903510378,1.0,28.0
0.01060600697676417,0.0,29.0
0.02036625001935244,1.0,29.0
0.01139420076845088,0.0,30.0
0.02302296297366757,1.0,30.0
0.012224068545004574,0.0,31.0
0.022303307388586102,1.0,31.0
0.01567169019226977,0.0,32.0
0.028254769469026275,1.0,32.0
0.02034678526566225,0.0,33.0
0.029116062087253702,1.0,33.0
0.014366370485316082,0.0,34.0
0.02412736910516422,1.0,34.0
0.011134011337385452,0.0,35.0
0.02633323625979722,1.0,35.0
0.012904366943488732,0.0,36.0
0.015773522361473447,1.0,36.0
0.014921594287644169,0.0,37.0
0.017776544161148156,1.0,37.0
0.014304644623770901,0.0,38.0
0.017806102105485166,1.0,38.0
0.019980289769444326,0.0,39.0
0.022956300452989797,1.0,39.0
0.020755630336752873,0.0,40.0
0.02296584534295576,1.0,40.0
0.018229273293414394,0.0,41.0
0.020645054910650273,1.0,41.0
0.014769697994014397,0.0,42.0
0.018036595571742087,1.0,42.0
0.012650119231275792,0.0,43.0
0.03263639078019631,1.0,43.0
0.011809543690586288,0.0,44.0
0.03082135123821761,1.0,44.0
0.012120039186983789,0.0,45.0
0.028335151807718617,1.0,45.0
0.01454911564184913,0.0,46.0
0.026620987456592804,1.0,46.0
0.01490549810517372,0.0,47.0
0.03649298413734936,1.0,47.0
0.014455394370789687,0.0,48.0
0.035238568089682065,1.0,48.0
0.013197491592239707,0.0,49.0
0.02706976341829881,1.0,49.0
0.012639634862175786,0.0,50.0
0.022456312421505586,1.0,50.0
0.013430835917075612,0.0,51.0
0.030219004697369378,1.0,51.0
0.013393647559600375,0.0,52.0
0.03130838553688209,1.0,52.0
0.018064474798575425,0.0,53.0
0.031082424690547672,1.0,53.0
0.02204686409460832,0.0,54.0
0.03392799198647589,1.0,54.0
0.01566184900414269,0.0,55.0
0.03110014295512098,1.0,55.0
0.013794768389127299,0.0,56.0
0.03196767379691634,1.0,56.0
0.012188849734705798,0.0,57.0
0.025265483795527288,1.0,57.0
0.011662570321383292,0.0,58.0
0.020612849737501104,1.0,58.0
0.012211626442047763,0.0,59.0
0.020873456299701942,1.0,59.0
0.015089264621484855,0.0,60.0
0.025250749163320485,1.0,60.0
0.018441244581381522,0.0,61.0
0.028351744285769698,1.0,61.0
0.013013054793202805,0.0,62.0
0.026503140654368096,1.0,62.0
0.011014636853472926,0.0,63.0
0.023972510820335913,1.0,63.0
0.012810026274713504,0.0,64.0
0.020645827282612217,1.0,64.0
0.011965459801290823,0.0,65.0
0.02199443400010237,1.0,65.0
0.012779470752012578,0.0,66.0
0.0232518010901952,1.0,66.0
0.015204642363159326,0.0,67.0
0.022683036599988604,1.0,67.0
0.01965244663282295,0.0,68.0
0.030456822835244868,1.0,68.0
0.01652516292548656,0.0,69.0
0.029985719127161747,1.0,69.0
0.013929385261389982,0.0,70.0
0.02198395875187842,1.0,70.0
0.013604519974814266,0.0,71.0
0.0186602796256512,1.0,71.0
0.01327521466773618,0.0,72.0
0.020047538836256873,1.0,72.0
0.012959770066346632,0.0,73.0
0.018277880059220486,1.0,73.0
0.01437016660449153,0.0,74.0
0.02270803347607231,1.0,74.0
0.01898103158364739,0.0,75.0
0.029289820733329197,1.0,75.0
0.015560171746348939,0.0,76.0
0.021311752647054316,1.0,76.0
0.01293558990310828,0.0,77.0
0.01911719973382242,1.0,77.0
0.01260615761574213,0.0,78.0
0.02012968706835805,1.0,78.0
0.011743211364565465,0.0,79.0
0.018730002692528558,1.0,79.0
0.012649202785450342,0.0,80.0
0.020364492359415287,1.0,80.0
0.015759619773084932,0.0,81.0
0.02129954345343421,1.0,81.0
0.02140738872035408,0.0,82.0
0.028136020051694466,1.0,82.0
0.014139518066522694,0.0,83.0
0.022820100587011893,1.0,83.0
0.014147675504187163,0.0,84.0
0.01997081481379137,1.0,84.0
0.013288745660964718,0.0,85.0
0.022239856164956162,1.0,85.0
0.011500394814595971,0.0,86.0
0.01854392183505249,1.0,86.0
0.011841695426832555,0.0,87.0
0.02025615481810794,1.0,87.0
0.013356894899788418,0.0,88.0
0.021845539547984405,1.0,88.0
0.01749091015123172,0.0,89.0
0.03551309564657856,1.0,89.0
0.014515615488905453,0.0,90.0
0.022604370972959753,1.0,90.0
0.012916135119935834,0.0,91.0
0.021581852202674057,1.0,91.0
0.013576917684823275,0.0,92.0
0.014394691272007876,1.0,92.0
0.0138327542029697,0.0,93.0
0.01808206274125812,1.0,93.0
0.013296794726144423,0.0,94.0
0.019696583183241412,1.0,94.0
0.02115570623505425,0.0,95.0
0.029542834709730403,1.0,95.0
0.023063812295855968,0.0,96.0
0.030769874137955622,1.0,96.0
0.014679706601863352,0.0,97.0
0.030119927665130497,1.0,97.0
0.014598766506013217,0.0,98.0
0.02912178881169103,1.0,98.0
0.013762212750183522,0.0,99.0
0.028740405835018912,1.0,99.0
0.012524424160293979,0.0,100.0
0.019240872007762366,1.0,100.0
0.012971012587158715,0.0,101.0
0.022203532392856662,1.0,101.0
0.015118160237947098,0.0,102.0
0.02192951217800365,1.0,102.0
0.019141008878407195,0.0,103.0
0.028644181145905723,1.0,103.0
0.016901031966876534,0.0,104.0
0.03199773183376298,1.0,104.0
0.014247745405788326,0.0,105.0
0.032180812465107955,1.0,105.0
0.011736263675880654,0.0,106.0
0.017219529955588175,1.0,106.0
0.012703922616297714,0.0,107.0
0.018438572598279634,1.0,107.0
0.01245337036129257,0.0,108.0
0.018101768630197856,1.0,108.0
0.015508990603810169,0.0,109.0
0.020355376924092727,1.0,109.0
0.020906184417295304,0.0,110.0
0.02503155684691194,1.0,110.0
0.014154126939990075,0.0,111.0
0.01931771294726925,1.0,111.0
0.01377056640005625,0.0,112.0
0.02189684661642799,1.0,112.0
0.012919379339062953,0.0,113.0
0.024627303360270858,1.0,113.0
0.013403102753339002,0.0,114.0
0.030776845927983132,1.0,114.0
0.0137523440365932,0.0,115.0
0.02888335736814973,1.0,115.0
0.015910284199471825,0.0,116.0
0.029082329150748265,1.0,116.0
0.018776445744733916,0.0,117.0
0.031163585767532975,1.0,117.0
0.014285271569497215,0.0,118.0
0.029077040031421753,1.0,118.0
0.01377867377600861,0.0,119.0
0.033004645323798876,1.0,119.0
0.011779632567525233,0.0,120.0
0.029533328675279247,1.0,120.0
0.012905317557009965,0.0,121.0
0.029725220006944664,1.0,121.0
0.012045980470832163,0.0,122.0
0.02793404096712271,1.0,122.0
0.015317318083710951,0.0,123.0
0.02981319411971528,1.0,123.0
0.0179268728843347,0.0,124.0
0.03048822477413715,1.0,124.0
0.014973595385175287,0.0,125.0
0.02871753053324788,1.0,125.0
0.012699730493675343,0.0,126.0
0.02964516379162241,1.0,126.0
0.013513734394417387,0.0,127.0
0.029301594541913722,1.0,127.0
0.013704149981998537,0.0,128.0
0.05012163776602341,1.0,128.0
0.014068006446466441,0.0,129.0
0.028046158789281517,1.0,129.0
0.01739586003171345,0.0,130.0
0.028987725023299937,1.0,130.0
0.0199515074062262,0.0,131.0
0.0415627816849935,1.0,131.0
0.014978370992279721,0.0,132.0
0.03368082504575032,1.0,132.0
0.013268731393435651,0.0,133.0
0.026885252113389324,1.0,133.0
0.011489602912684305,0.0,134.0
0.0239048264799111,1.0,134.0
0.013502844451420248,0.0,135.0
0.021952416600464097,1.0,135.0
0.01239804038757164,0.0,136.0
0.020751080828615542,1.0,136.0
0.01467303499391992,0.0,137.0
0.025188976159921772,1.0,137.0
0.018310753885861786,0.0,138.0
0.028573778386077553,1.0,138.0
0.013297263329293596,0.0,139.0
0.02608561864649639,1.0,139.0
0.011192690490191115,0.0,140.0
0.023006154413989233,1.0,140.0
0.012007991620150982,0.0,141.0
0.03239108542081226,1.0,141.0
0.011696312308191459,0.0,142.0
0.030824621214161407,1.0,142.0
0.010288867084091269,0.0,143.0
0.029920028721405423,1.0,143.0
0.013401907408106872,0.0,144.0
0.030533982631688605,1.0,144.0
0.01600419065259384,0.0,145.0
0.031685762194115785,1.0,145.0
0.015680410084383034,0.0,146.0
0.033739377012654614,1.0,146.0
0.012688109096073763,0.0,147.0
0.0347221323318232,1.0,147.0
0.013164931893639764,0.0,148.0
0.019686494808617727,1.0,148.0
0.013147226985933624,0.0,149.0
0.019665606560915982,1.0,149.0
0.014048362398718872,0.0,150.0
0.0210969588501162,1.0,150.0
0.016016448160012242,0.0,151.0
0.020800693461487274,1.0,151.0
0.018307100940679888,0.0,152.0
0.02336963151790261,1.0,152.0
0.01465419657176703,0.0,153.0
0.019893890119489388,1.0,153.0
0.013719912027176928,0.0,154.0
0.020274343056714272,1.0,154.0
0.012714900359010795,0.0,155.0
0.025941800861352782,1.0,155.0
