cm_1_power,cm_2_power,cm_3_power,cm_4_power,cm_5_power,cm_6_power,cm_7_power,cm_8_power,cm_9_power,cm_10_power,cm_11_power,cm_12_power,cm_13_power,cm_14_power,cm_15_power,cm_16_power,cm_17_power,cm_18_power,cm_19_power,cm_20_power,cm_21_power,cm_22_power,cm_23_power,cm_24_power,load_1_power,load_2_power,load_3_power,load_4_power,load_5_power,load_6_power,load_7_power,load_8_power,load_9_power,load_10_power,load_11_power,load_12_power,load_13_power,load_14_power,load_15_power,load_16_power,load_17_power,load_18_power,load_19_power,load_20_power,load_21_power,load_22_power,load_23_power,load_24_power,load_25_power,load_26_power,load_27_power,load_28_power,load_29_power,load_30_power,load_31_power,load_32_power,load_33_power,load_34_power,load_35_power,load_36_power,load_37_power,load_38_power,load_39_power,load_40_power,load_41_power,load_42_power,load_43_power,load_44_power,load_45_power,load_46_power,load_47_power,load_48_power,load_49_power,load_50_power,load_51_power,load_52_power,load_53_power,load_54_power,load_55_power,label,id
81.38011,64.07365,53.932802,118.109718,55.76753,120.450615,69.874195,67.680062,43.783247,60.755125,150.571671,56.90647,102.412042,107.849773,80.916181,112.798009,53.569217,75.591619,69.531565,65.498859,102.624762,26.487993,123.041231,72.837274,50.862567,27.493955,23.156062,27.679125,21.91814,33.105032,62.616385,38.289605,27.80822,2.768753,25.166389,17.115069,17.632405,20.85477,27.280149,78.410785,42.564843,45.291894,64.016952,24.361318,2.485896,19.108722,14.491134,27.189662,26.329792,86.476921,27.065656,25.779357,18.584849,50.624204,38.171187,14.909766,85.054874,73.156972,22.696835,22.661984,79.521572,38.287251,28.854895,19.930752,11.731741,20.410183,13.438258,25.906864,90.516224,11.584175,12.833765,9.195849,54.638913,56.505915,36.128832,21.023901,16.280414,29.033644,101.785199,0.0,6.0
81.38011,64.07365,53.932802,118.109718,55.76753,120.450615,69.874195,67.680062,43.783247,60.755125,150.571671,56.90647,102.412042,107.849773,80.916181,112.798009,53.569217,75.591619,69.531565,65.498859,102.624762,26.487993,123.041231,72.837274,31.935937,27.493955,23.156062,27.679125,21.91814,33.105032,62.616385,38.289605,27.80822,2.768753,25.166389,17.115069,17.632405,20.85477,27.280149,78.410785,42.564843,45.291894,64.016952,24.361318,2.485896,19.108722,14.491134,27.189662,26.329792,86.476921,27.065656,25.779357,18.584849,50.624204,38.171187,14.909766,85.054874,73.156972,22.696835,22.661984,79.521572,38.287251,28.854895,19.930752,11.731741,20.410183,13.438258,25.906864,90.516224,11.584175,12.833765,9.195849,54.638913,56.505915,36.128832,21.023901,16.280414,29.033644,101.785199,1.0,6.0
78.43379,60.69519,37.327592,111.883334,29.671534,124.835138,53.176712,24.978679,56.546707,44.636107,145.366304,44.307884,61.239993,144.158175,59.573823,90.218158,56.917483,28.305885,58.45794,52.387169,71.413688,16.382364,99.922269,61.824223,46.837083,25.270464,26.53832,19.826721,14.485616,33.035171,53.982554,34.215322,8.267244,-0.820738,22.210692,23.611193,3.238549,15.811454,25.387588,103.337384,27.771845,30.004422,44.971798,23.983742,-20.792034,32.262112,13.758419,17.329127,25.148262,64.750485,18.383787,23.379319,18.521085,52.773372,25.647281,25.111606,123.16952,67.028253,20.7917,24.654195,36.418857,31.609549,23.432839,17.724729,14.021585,17.093865,-0.064622,25.238401,57.170807,9.233656,16.308811,5.902605,13.085218,48.909045,31.111383,26.248094,12.868993,21.088687,73.531887,0.0,7.0
78.43379,60.69519,37.327592,111.883334,29.671534,124.835138,53.176712,24.978679,56.546707,44.636107,145.366304,44.307884,61.239993,144.158175,59.573823,90.218158,56.917483,28.305885,58.45794,52.387169,71.413688,16.382364,99.922269,61.824223,29.408389,25.270464,26.53832,19.826721,14.485616,33.035171,53.982554,34.215322,8.267244,-0.820738,22.210692,23.611193,3.238549,15.811454,25.387588,103.337384,27.771845,30.004422,44.971798,23.983742,-20.792034,32.262112,13.758419,17.329127,25.148262,64.750485,18.383787,23.379319,18.521085,52.773372,25.647281,25.111606,123.16952,67.028253,20.7917,24.654195,36.418857,31.609549,23.432839,17.724729,14.021585,17.093865,-0.064622,25.238401,57.170807,9.233656,16.308811,5.902605,13.085218,48.909045,31.111383,26.248094,12.868993,21.088687,73.531887,1.0,7.0
90.7412,30.24023,78.562813,55.874663,103.064554,93.003523,23.002867,84.200539,60.72066,13.908681,102.114791,60.753758,52.521963,66.31464,95.857139,14.478789,87.770575,52.423718,65.64824,78.953774,62.669195,49.16467,98.919041,87.039637,69.90838,18.428965,15.362283,33.034445,42.43566,9.258441,14.337988,14.189009,55.072165,22.939753,24.997346,27.308085,23.302671,9.276264,10.603228,57.948053,12.394641,11.499367,49.989752,37.135653,33.413673,23.388728,1.949548,-3.179225,31.79423,31.667653,11.065551,87.409323,27.183156,43.748896,33.508627,57.367864,31.14949,26.363431,35.14115,26.792482,25.678942,30.161583,37.32029,11.031603,47.24672,17.098911,20.84546,-17.419525,15.25522,2.813405,28.185832,44.636995,4.877463,55.470029,29.752497,75.376626,31.509155,48.997418,23.417425,0.0,8.0
90.7412,30.24023,78.562813,55.874663,103.064554,93.003523,23.002867,84.200539,60.72066,13.908681,102.114791,60.753758,52.521963,66.31464,95.857139,14.478789,87.770575,52.423718,65.64824,78.953774,62.669195,49.16467,98.919041,87.039637,69.90838,3.502771,15.362283,33.034445,42.43566,9.258441,14.337988,14.189009,55.072165,22.939753,24.997346,27.308085,23.302671,9.276264,10.603228,57.948053,12.394641,11.499367,49.989752,37.135653,33.413673,23.388728,1.949548,-3.179225,31.79423,31.667653,11.065551,87.409323,27.183156,43.748896,33.508627,57.367864,31.14949,26.363431,35.14115,26.792482,25.678942,30.161583,37.32029,11.031603,47.24672,17.098911,20.84546,-17.419525,15.25522,2.813405,28.185832,44.636995,4.877463,55.470029,29.752497,75.376626,31.509155,48.997418,23.417425,1.0,8.0
84.50749,31.0009,55.926387,66.001192,56.242812,92.027516,24.293989,103.541852,74.683472,-11.690732,150.469879,73.422192,41.16217,64.41369,63.670575,-8.373194,71.938885,55.100491,70.616229,107.470694,60.083718,37.825436,79.212563,74.886084,62.796809,23.947029,15.893777,38.105791,14.521631,4.358193,14.472127,24.667017,19.985116,19.046344,17.19394,26.809301,20.184228,8.938227,14.882782,59.824152,9.401452,-6.264298,50.705028,46.552129,51.860669,27.74117,-6.36001,-6.798686,49.584915,25.329427,7.481217,62.522575,34.54651,70.968316,38.790593,49.987623,30.874311,29.478643,33.500626,21.805815,19.315973,21.723483,38.560878,11.710615,42.541883,20.136784,16.65388,-33.924943,17.422046,-0.38383,21.087941,44.98897,10.393119,58.204215,41.177024,56.592667,16.640088,66.044934,22.537585,0.0,9.0
84.50749,31.0009,55.926387,66.001192,56.242812,92.027516,24.293989,103.541852,74.683472,-11.690732,150.469879,73.422192,41.16217,64.41369,63.670575,-8.373194,71.938885,55.100491,70.616229,107.470694,60.083718,37.825436,79.212563,74.886084,62.796809,4.551583,15.893777,38.105791,14.521631,4.358193,14.472127,24.667017,19.985116,19.046344,17.19394,26.809301,20.184228,8.938227,14.882782,59.824152,9.401452,-6.264298,50.705028,46.552129,51.860669,27.74117,-6.36001,-6.798686,49.584915,25.329427,7.481217,62.522575,34.54651,70.968316,38.790593,49.987623,30.874311,29.478643,33.500626,21.805815,19.315973,21.723483,38.560878,11.710615,42.541883,20.136784,16.65388,-33.924943,17.422046,-0.38383,21.087941,44.98897,10.393119,58.204215,41.177024,56.592667,16.640088,66.044934,22.537585,1.0,9.0
87.121926,36.189095,53.148469,62.02222,68.496338,86.179834,19.468368,87.227327,65.291176,-13.431234,152.578638,78.503241,40.456385,68.241133,70.248267,-17.666701,68.909657,55.95364,80.59268,80.377754,66.863145,39.454696,83.510216,67.772372,65.863626,25.96008,15.937008,22.530418,27.616879,7.766179,12.070439,20.571686,26.133385,23.190658,19.147051,29.344309,15.246361,9.425603,9.239484,58.842897,10.224827,-8.576761,46.650843,38.506346,39.718282,26.428845,-5.755619,-4.88031,47.999989,21.712699,7.644409,67.054319,36.799115,72.349344,41.602955,42.519686,26.889258,31.806369,41.297595,21.373922,19.035585,26.190278,51.097637,13.008411,49.007982,16.304748,18.577649,-39.578945,17.734576,-5.932315,20.797772,50.523075,11.26685,55.874178,29.418249,63.52539,11.863973,50.793502,19.908082,0.0,10.0
87.121926,36.189095,53.148469,62.02222,68.496338,86.179834,19.468368,87.227327,65.291176,-13.431234,152.578638,78.503241,40.456385,68.241133,70.248267,-17.666701,68.909657,55.95364,80.59268,80.377754,66.863145,39.454696,83.510216,67.772372,65.863626,4.934201,15.937008,22.530418,27.616879,7.766179,12.070439,20.571686,26.133385,23.190658,19.147051,29.344309,15.246361,9.425603,9.239484,58.842897,10.224827,-8.576761,46.650843,38.506346,39.718282,26.428845,-5.755619,-4.88031,47.999989,21.712699,7.644409,67.054319,36.799115,72.349344,41.602955,42.519686,26.889258,31.806369,41.297595,21.373922,19.035585,26.190278,51.097637,13.008411,49.007982,16.304748,18.577649,-39.578945,17.734576,-5.932315,20.797772,50.523075,11.26685,55.874178,29.418249,63.52539,11.863973,50.793502,19.908082,1.0,10.0
111.77578,41.79988,41.701864,104.904513,53.566163,90.421953,24.204687,72.942065,90.761972,-15.218744,183.697605,86.68997,44.239874,96.101623,64.379625,-10.93016,123.858462,48.818391,77.981101,85.509602,110.201901,32.472795,93.471586,109.240802,88.770284,30.08799,15.849347,20.108665,17.531303,8.463812,13.070847,55.553367,16.714504,18.266527,18.564065,36.151235,19.333014,9.664664,12.907839,57.769323,11.289837,-8.380438,44.813572,58.907686,26.901393,31.264122,-8.173504,-7.881192,50.760591,19.529681,3.521812,68.104181,42.971246,92.565861,43.579504,94.84832,27.361682,39.758279,68.657659,24.463657,19.710645,28.628314,50.092592,7.689063,92.482964,19.868711,13.102991,-30.757874,17.380145,-8.368113,19.214155,42.677329,14.371632,77.14797,38.565172,65.42241,31.975205,46.588619,27.897847,0.0,11.0
111.77578,41.79988,41.701864,104.904513,53.566163,90.421953,24.204687,72.942065,90.761972,-15.218744,183.697605,86.68997,44.239874,96.101623,64.379625,-10.93016,123.858462,48.818391,77.981101,85.509602,110.201901,32.472795,93.471586,109.240802,88.770284,5.718788,15.849347,20.108665,17.531303,8.463812,13.070847,55.553367,16.714504,18.266527,18.564065,36.151235,19.333014,9.664664,12.907839,57.769323,11.289837,-8.380438,44.813572,58.907686,26.901393,31.264122,-8.173504,-7.881192,50.760591,19.529681,3.521812,68.104181,42.971246,92.565861,43.579504,94.84832,27.361682,39.758279,68.657659,24.463657,19.710645,28.628314,50.092592,7.689063,92.482964,19.868711,13.102991,-30.757874,17.380145,-8.368113,19.214155,42.677329,14.371632,77.14797,38.565172,65.42241,31.975205,46.588619,27.897847,1.0,11.0
123.18838,79.49863,67.189001,106.370739,159.43984,113.495844,121.900706,74.044086,191.66484,27.145821,220.627915,99.297114,40.640398,113.3486,81.388353,55.078994,157.67798,59.745392,84.702069,114.117899,70.69616,38.561296,120.236931,121.873883,92.511919,59.8048,15.823701,32.516775,25.769958,12.598342,11.724462,71.970631,119.448717,20.149163,19.670631,22.499921,33.934859,12.949635,10.931509,59.222222,110.827157,15.437332,43.217916,134.468,28.347511,55.913992,9.618244,10.276668,37.090104,59.168345,11.896716,58.086564,57.478896,107.82171,41.637816,86.388968,30.025189,74.895885,83.216047,25.120912,15.45076,70.731513,37.552613,26.047685,56.470906,20.69765,22.16313,-4.608914,13.918102,1.04519,16.164414,45.875761,12.666521,90.365931,50.455317,62.464807,31.375888,63.227798,57.531043,0.0,12.0
123.18838,79.49863,67.189001,106.370739,159.43984,113.495844,121.900706,74.044086,191.66484,27.145821,220.627915,99.297114,40.640398,113.3486,81.388353,55.078994,157.67798,59.745392,84.702069,114.117899,70.69616,38.561296,120.236931,121.873883,92.511919,11.367027,15.823701,32.516775,25.769958,12.598342,11.724462,71.970631,119.448717,20.149163,19.670631,22.499921,33.934859,12.949635,10.931509,59.222222,110.827157,15.437332,43.217916,134.468,28.347511,55.913992,9.618244,10.276668,37.090104,59.168345,11.896716,58.086564,57.478896,107.82171,41.637816,86.388968,30.025189,74.895885,83.216047,25.120912,15.45076,70.731513,37.552613,26.047685,56.470906,20.69765,22.16313,-4.608914,13.918102,1.04519,16.164414,45.875761,12.666521,90.365931,50.455317,62.464807,31.375888,63.227798,57.531043,1.0,12.0
