cm_1_power,cm_2_power,cm_3_power,cm_4_power,cm_5_power,cm_6_power,cm_7_power,cm_8_power,cm_9_power,cm_10_power,cm_11_power,cm_12_power,cm_13_power,cm_14_power,cm_15_power,cm_16_power,cm_17_power,cm_18_power,cm_19_power,cm_20_power,cm_21_power,cm_22_power,cm_23_power,cm_24_power,load_1_power,load_2_power,load_3_power,load_4_power,load_5_power,load_6_power,load_7_power,load_8_power,load_9_power,load_10_power,load_11_power,load_12_power,load_13_power,load_14_power,load_15_power,load_16_power,load_17_power,load_18_power,load_19_power,load_20_power,load_21_power,load_22_power,load_23_power,load_24_power,load_25_power,load_26_power,load_27_power,load_28_power,load_29_power,load_30_power,load_31_power,load_32_power,load_33_power,load_34_power,load_35_power,load_36_power,load_37_power,load_38_power,load_39_power,load_40_power,load_41_power,load_42_power,load_43_power,load_44_power,load_45_power,load_46_power,load_47_power,load_48_power,load_49_power,load_50_power,load_51_power,load_52_power,load_53_power,load_54_power,load_55_power,label,id
39.271661,31.884232,76.53634,59.75569,78.059525,47.269771,80.408775,45.183083,81.37637,68.631589,46.612152,114.542893,47.555292,11.160075,74.220644,30.279982,31.341125,153.670783,89.533381,40.426329,42.219238,37.112742,32.661838,57.021528,18.638324,6.339599,14.997683,64.89405,8.251762,22.739497,11.114484,13.475535,35.845186,32.441632,9.732396,35.120473,11.230457,20.591666,71.134734,12.623717,9.195772,41.679178,22.559085,54.022041,21.702152,27.086409,26.399787,7.683151,4.209926,12.876249,55.782905,10.137617,54.472851,9.967034,59.924222,11.300509,2.116375,32.201215,9.028605,19.579429,27.924568,19.77303,42.125723,7.163858,9.487055,40.078217,24.682331,17.157521,32.612149,64.329004,12.333676,58.246857,30.764716,14.685602,13.848621,27.73975,42.287245,26.441655,4.860004,0.0,1.0
39.271661,31.884232,76.53634,59.75569,78.059525,47.269771,80.408775,45.183083,81.37637,68.631589,46.612152,114.542893,47.555292,11.160075,74.220644,30.279982,31.341125,153.670783,89.533381,40.426329,42.219238,37.112742,32.661838,57.021528,9.749702,6.339599,14.997683,64.89405,8.251762,22.739497,11.114484,13.475535,35.845186,32.441632,9.732396,35.120473,11.230457,20.591666,71.134734,12.623717,9.195772,41.679178,22.559085,54.022041,21.702152,27.086409,26.399787,7.683151,4.209926,12.876249,55.782905,10.137617,54.472851,9.967034,59.924222,11.300509,2.116375,32.201215,9.028605,19.579429,27.924568,19.77303,42.125723,7.163858,9.487055,40.078217,24.682331,17.157521,32.612149,64.329004,12.333676,58.246857,30.764716,14.685602,13.848621,27.73975,42.287245,26.441655,4.860004,1.0,1.0
27.568739,36.810717,52.552289,71.391515,63.331344,20.704102,44.497648,46.316962,91.984188,49.369941,47.131085,88.43055,45.137609,-15.27554,5.117692,26.633691,51.822129,96.822238,89.095038,41.659557,28.835964,22.383647,14.369089,21.040748,10.571265,-0.199113,12.189567,40.295318,9.303864,34.630189,7.521024,14.633126,20.986004,31.578459,10.74143,49.158117,2.789843,9.984018,40.142978,5.400071,4.309384,32.03441,23.288734,61.300159,22.191367,30.431473,16.894009,-0.053336,2.091622,18.214577,20.484803,-15.88498,50.618402,18.137183,37.718495,17.33511,-6.45362,26.720284,-8.841197,17.840621,27.243523,34.226349,39.267573,9.875867,0.391125,39.789386,13.047823,8.181424,28.340864,45.329801,9.281183,21.72517,29.550929,6.466776,18.759545,21.733089,14.565466,22.755253,-7.399668,0.0,2.0
27.568739,36.810717,52.552289,71.391515,63.331344,20.704102,44.497648,46.316962,91.984188,49.369941,47.131085,88.43055,45.137609,-15.27554,5.117692,26.633691,51.822129,96.822238,89.095038,41.659557,28.835964,22.383647,14.369089,21.040748,5.529826,-0.199113,12.189567,40.295318,9.303864,34.630189,7.521024,14.633126,20.986004,31.578459,10.74143,49.158117,2.789843,9.984018,40.142978,5.400071,4.309384,32.03441,23.288734,61.300159,22.191367,30.431473,16.894009,-0.053336,2.091622,18.214577,20.484803,-15.88498,50.618402,18.137183,37.718495,17.33511,-6.45362,26.720284,-8.841197,17.840621,27.243523,34.226349,39.267573,9.875867,0.391125,39.789386,13.047823,8.181424,28.340864,45.329801,9.281183,21.72517,29.550929,6.466776,18.759545,21.733089,14.565466,22.755253,-7.399668,1.0,2.0
24.467144,26.893598,52.173795,56.326258,54.458214,29.189856,65.011832,42.523631,92.337536,50.358913,46.848706,97.918303,55.141798,-14.798692,8.539241,5.20524,44.441464,103.048053,73.022224,46.809174,40.883154,15.657623,19.624785,35.595508,14.905049,2.475807,4.529285,40.688113,8.371413,21.910899,7.697786,13.525054,17.445503,30.136106,6.857676,35.047319,1.582008,14.124791,57.210007,10.740099,7.709911,23.526508,21.488809,53.691824,20.143016,38.346539,26.29647,2.345503,16.100649,0.247198,26.724623,-21.086818,53.182514,12.871185,44.614199,18.696591,-5.818176,17.634094,-9.010372,30.41083,24.649298,25.480657,35.363178,2.450572,-5.655215,35.046023,5.432641,4.734793,46.42971,49.903591,10.155973,24.879128,28.050959,8.154332,21.730092,21.836345,27.401692,24.918895,-2.266987,0.0,3.0
24.467144,26.893598,52.173795,56.326258,54.458214,29.189856,65.011832,42.523631,92.337536,50.358913,46.848706,97.918303,55.141798,-14.798692,8.539241,5.20524,44.441464,103.048053,73.022224,46.809174,40.883154,15.657623,19.624785,35.595508,7.796827,2.475807,4.529285,40.688113,8.371413,21.910899,7.697786,13.525054,17.445503,30.136106,6.857676,35.047319,1.582008,14.124791,57.210007,10.740099,7.709911,23.526508,21.488809,53.691824,20.143016,38.346539,26.29647,2.345503,16.100649,0.247198,26.724623,-21.086818,53.182514,12.871185,44.614199,18.696591,-5.818176,17.634094,-9.010372,30.41083,24.649298,25.480657,35.363178,2.450572,-5.655215,35.046023,5.432641,4.734793,46.42971,49.903591,10.155973,24.879128,28.050959,8.154332,21.730092,21.836345,27.401692,24.918895,-2.266987,1.0,3.0
22.825246,25.707528,61.961651,51.550944,57.049829,20.46414,55.422693,43.461023,115.539553,50.505538,41.242593,74.388929,54.118867,-18.100367,53.547835,7.824576,60.857287,133.660672,90.470088,48.681477,56.089754,23.916474,18.014554,23.589936,13.156539,-1.100263,4.396449,50.193066,8.53994,24.18385,3.586901,19.251316,18.521058,30.8301,7.680895,28.662444,2.584394,9.794626,46.91071,5.264995,8.429498,19.171387,24.197673,82.277769,18.332464,32.949207,30.941901,-1.222436,6.103361,1.222475,17.042244,37.068054,39.565833,12.508376,34.746483,19.123539,-8.14584,22.470204,-9.97712,22.722646,31.343185,41.431413,38.280702,17.647143,0.09765,34.351903,12.624364,6.349057,55.870104,51.336188,11.239951,35.963824,46.097045,6.016459,26.217618,21.019732,17.560366,22.286366,-3.040356,0.0,4.0
22.825246,25.707528,61.961651,51.550944,57.049829,20.46414,55.422693,43.461023,115.539553,50.505538,41.242593,74.388929,54.118867,-18.100367,53.547835,7.824576,60.857287,133.660672,90.470088,48.681477,56.089754,23.916474,18.014554,23.589936,6.882182,-1.100263,4.396449,50.193066,8.53994,24.18385,3.586901,19.251316,18.521058,30.8301,7.680895,28.662444,2.584394,9.794626,46.91071,5.264995,8.429498,19.171387,24.197673,82.277769,18.332464,32.949207,30.941901,-1.222436,6.103361,1.222475,17.042244,37.068054,39.565833,12.508376,34.746483,19.123539,-8.14584,22.470204,-9.97712,22.722646,31.343185,41.431413,38.280702,17.647143,0.09765,34.351903,12.624364,6.349057,55.870104,51.336188,11.239951,35.963824,46.097045,6.016459,26.217618,21.019732,17.560366,22.286366,-3.040356,1.0,4.0
40.935915,51.863003,68.03884,116.349399,74.19475,43.563004,107.357626,40.213454,129.975296,85.365342,71.043349,133.182321,60.087124,20.812561,187.24254,37.822546,72.707474,169.009174,131.218316,80.056559,94.289822,115.337106,59.109672,38.681497,13.099687,5.502192,18.01689,53.250559,8.485715,41.367922,12.05401,48.86267,19.291387,41.282876,13.585059,55.283033,3.864347,21.169506,94.849976,13.141563,12.389795,56.559834,23.205505,71.853174,15.152666,57.651297,27.944569,14.91652,27.862537,18.53141,120.827038,50.05709,32.225205,20.62023,100.759722,19.460984,9.673747,22.195975,11.117806,27.575448,32.439976,52.696263,42.703637,40.261582,22.145482,47.874961,7.692215,18.80891,71.778273,56.239386,107.397315,42.20008,70.144494,13.039592,49.172198,28.933254,25.609375,30.536516,30.097591,0.0,5.0
40.935915,51.863003,68.03884,116.349399,74.19475,43.563004,107.357626,40.213454,129.975296,85.365342,71.043349,133.182321,60.087124,20.812561,187.24254,37.822546,72.707474,169.009174,131.218316,80.056559,94.289822,115.337106,59.109672,38.681497,6.852443,5.502192,18.01689,53.250559,8.485715,41.367922,12.05401,48.86267,19.291387,41.282876,13.585059,55.283033,3.864347,21.169506,94.849976,13.141563,12.389795,56.559834,23.205505,71.853174,15.152666,57.651297,27.944569,14.91652,27.862537,18.53141,120.827038,50.05709,32.225205,20.62023,100.759722,19.460984,9.673747,22.195975,11.117806,27.575448,32.439976,52.696263,42.703637,40.261582,22.145482,47.874961,7.692215,18.80891,71.778273,56.239386,107.397315,42.20008,70.144494,13.039592,49.172198,28.933254,25.609375,30.536516,30.097591,1.0,5.0
