log_cosh_1,label,id
6.042458913581025,0.0,1.0
13.449375622931848,1.0,1.0
6.684026951389447,0.0,2.0
10.786422571312961,1.0,2.0
7.374521302646173,0.0,3.0
10.21752763492806,1.0,3.0
10.52740847371714,0.0,4.0
19.179823561706026,1.0,4.0
15.475777606596557,0.0,5.0
23.55470683123218,1.0,5.0
10.442517365633696,0.0,6.0
17.42306633596509,1.0,6.0
6.037643022071017,0.0,7.0
12.832882879919016,1.0,7.0
4.840107691742706,0.0,8.0
8.409124543694013,1.0,8.0
5.191582650223115,0.0,9.0
10.548620719096608,1.0,9.0
5.522234491194859,0.0,10.0
10.077719989608454,1.0,10.0
6.5818001104724395,0.0,11.0
12.62245808325293,1.0,11.0
10.88889739437945,0.0,12.0
18.088695590954906,1.0,12.0
6.338422351402605,0.0,13.0
11.694433313830892,1.0,13.0
4.698423894281746,0.0,14.0
8.802110671656424,1.0,14.0
6.532931558190658,0.0,15.0
11.2902984122235,1.0,15.0
7.113275365707413,0.0,16.0
11.566832817808265,1.0,16.0
7.062917183353105,0.0,17.0
11.152353890231096,1.0,17.0
7.653883833897457,0.0,18.0
12.390527023842836,1.0,18.0
9.903596565801003,0.0,19.0
15.156366175402374,1.0,19.0
7.945668490214808,0.0,20.0
13.175749687492303,1.0,20.0
5.304169586004515,0.0,21.0
9.401174742815959,1.0,21.0
6.870652410447429,0.0,22.0
10.930482828199638,1.0,22.0
6.551975805516604,0.0,23.0
11.524109532445747,1.0,23.0
6.36218043103525,0.0,24.0
10.833862729043817,1.0,24.0
8.704382687277349,0.0,25.0
13.652489071995186,1.0,25.0
10.156299495986138,0.0,26.0
12.80501637448794,1.0,26.0
6.9477744245439705,0.0,27.0
9.770080110345965,1.0,27.0
5.117891562535697,0.0,28.0
9.401718479507311,1.0,28.0
4.816137676405653,0.0,29.0
9.824692207150836,1.0,29.0
6.959278016780488,0.0,30.0
11.505774922303141,1.0,30.0
6.41067027852863,0.0,31.0
10.336105228794462,1.0,31.0
7.937057733521684,0.0,32.0
12.751631593888792,1.0,32.0
15.294444025800335,0.0,33.0
24.61361623154841,1.0,33.0
9.329977808336121,0.0,34.0
13.100162035800203,1.0,34.0
6.362821883984808,0.0,35.0
10.565697178124934,1.0,35.0
6.7605856855429,0.0,36.0
12.184109028066448,1.0,36.0
7.134498034154765,0.0,37.0
13.045195988992587,1.0,37.0
7.705388987978638,0.0,38.0
13.699617840582265,1.0,38.0
10.53975937448781,0.0,39.0
16.829952967796824,1.0,39.0
15.061059382759524,0.0,40.0
19.17693724057918,1.0,40.0
11.338732235728859,0.0,41.0
17.39769094368219,1.0,41.0
5.781811868733084,0.0,42.0
10.359572331124227,1.0,42.0
6.488438957108545,0.0,43.0
18.586762308875407,1.0,43.0
6.5633213145617875,0.0,44.0
17.427520460171696,1.0,44.0
