gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6,gamma_7,gamma_8,gamma_9,gamma_10,gamma_11,gamma_12,gamma_13,gamma_14,gamma_15,gamma_16,gamma_17,gamma_18,gamma_19,gamma_20,gamma_21,gamma_22,gamma_23,gamma_24,label,id
0.08867451013153271,0.06195728796951361,0.062104278287241854,0.0009070443805963002,0.0008508257870425417,0.03402656442881202,0.0003318517965804624,0.02068250118324455,0.002332167439471622,0.04971409914998537,0.002505226989428788,0.001581408391458261,0.0013780885461653902,0.0006945724869940051,0.008489478893551006,0.00394863317579075,0.0023958504717684903,0.0014391658728190038,0.0020092910359519323,0.003450193169258764,0.0029059065676069196,0.0013581424596118552,0.0012022100697972604,0.0006308277187394573,0.0,1.0
1.2353088759598787,0.06195728796951361,0.062104278287241854,0.0009070443805963002,0.0008508257870425417,0.03402656442881202,0.0003318517965804624,0.02068250118324455,0.002332167439471622,0.04971409914998537,0.002505226989428788,0.001581408391458261,0.0013780885461653902,0.0006945724869940051,0.008489478893551006,0.00394863317579075,0.0023958504717684903,0.0014391658728190038,0.0020092910359519323,0.003450193169258764,0.0029059065676069196,0.0013581424596118552,0.0012022100697972604,0.0006308277187394573,1.0,1.0
0.07496213168509769,0.08072504583577444,0.05370403728138751,0.0012166150009527144,0.0008170414642352242,0.031755744163403765,0.00046783111061987626,0.01562830341491317,0.002541152213061615,0.028257119863823288,0.004429116325064264,0.003418468128538965,0.0023587919379046696,0.0012020693652674552,0.006799265079792338,0.0036598189589320818,0.002208097850044499,0.0013185738559640114,0.002464020929266564,0.0028526710014933343,0.002561566953830585,0.0012879024142056217,0.001141899791903711,0.0005974044586118943,0.0,2.0
1.2336273333361385,0.08072504583577444,0.05370403728138751,0.0012166150009527144,0.0008170414642352242,0.031755744163403765,0.00046783111061987626,0.01562830341491317,0.002541152213061615,0.028257119863823288,0.004429116325064264,0.003418468128538965,0.0023587919379046696,0.0012020693652674552,0.006799265079792338,0.0036598189589320818,0.002208097850044499,0.0013185738559640114,0.002464020929266564,0.0028526710014933343,0.002561566953830585,0.0012879024142056217,0.001141899791903711,0.0005974044586118943,1.0,2.0
0.07625146849031417,0.07876494089780905,0.05140391112511189,0.0011892081649915731,0.0008036413764376249,0.02921216868525489,0.0005175160587853611,0.014364884062488148,0.0020334316225114613,0.009085873227232089,0.0021996016253571504,0.0015072790141568149,0.0011792648874897615,0.0006027873478409163,0.007708413537850234,0.0035474022544166317,0.0022499046377033594,0.0013979515740154547,0.003303980586664146,0.0035606592831007866,0.0030043314232779395,0.0015203922077677845,0.0014046658303406012,0.0007490301355512763,0.0,3.0
1.195158750110017,0.07876494089780905,0.05140391112511189,0.0011892081649915731,0.0008036413764376249,0.02921216868525489,0.0005175160587853611,0.014364884062488148,0.0020334316225114613,0.009085873227232089,0.0021996016253571504,0.0015072790141568149,0.0011792648874897615,0.0006027873478409163,0.007708413537850234,0.0035474022544166317,0.0022499046377033594,0.0013979515740154547,0.003303980586664146,0.0035606592831007866,0.0030043314232779395,0.0015203922077677845,0.0014046658303406012,0.0007490301355512763,1.0,3.0
0.11105345649389697,0.10249729789747919,0.08187504800968037,0.0018779202912884152,0.0015203717463863065,0.048749188935787835,0.0004577452447627195,0.01195915019461502,0.0029009072034282823,0.012322313217338454,0.0036593387064169924,0.0027552566272719403,0.002206132596771937,0.0011578358022021895,0.009855137294313199,0.003818622523807935,0.0020436831760499707,0.0012978187484313786,0.0028469231142072005,0.002784971439881989,0.002506189267285297,0.0012464298709735644,0.001063747460971154,0.0005815089514049632,0.0,4.0
1.2290586027299129,0.10249729789747919,0.08187504800968037,0.0018779202912884152,0.0015203717463863065,0.048749188935787835,0.0004577452447627195,0.01195915019461502,0.0029009072034282823,0.012322313217338454,0.0036593387064169924,0.0027552566272719403,0.002206132596771937,0.0011578358022021895,0.009855137294313199,0.003818622523807935,0.0020436831760499707,0.0012978187484313786,0.0028469231142072005,0.002784971439881989,0.002506189267285297,0.0012464298709735644,0.001063747460971154,0.0005815089514049632,1.0,4.0
0.08441834534669246,0.07773623925319217,0.11516857424247373,0.001654568230101905,0.0011172588954631024,0.04200094874404314,0.0009205230444200296,0.014962577954013234,0.004539667212284826,0.023676919861402634,0.0056703334625662905,0.0038354312454216277,0.0028899132847608477,0.0011706867173013613,0.013598892302676635,0.00488826751675564,0.002858465288313017,0.0018307621905173654,0.003985828535204128,0.0033170408312868105,0.0028252861329138845,0.0016904054689770298,0.0018360524409759549,0.0008622774762319096,0.0,5.0
0.4259819231698643,0.07773623925319217,0.11516857424247373,0.001654568230101905,0.0011172588954631024,0.04200094874404314,0.0009205230444200296,0.014962577954013234,0.004539667212284826,0.023676919861402634,0.0056703334625662905,0.0038354312454216277,0.0028899132847608477,0.0011706867173013613,0.013598892302676635,0.00488826751675564,0.002858465288313017,0.0018307621905173654,0.003985828535204128,0.0033170408312868105,0.0028252861329138845,0.0016904054689770298,0.0018360524409759549,0.0008622774762319096,1.0,5.0
