poisson_1,poisson_2,poisson_3,poisson_4,poisson_5,poisson_6,poisson_7,poisson_8,poisson_9,poisson_10,poisson_11,poisson_12,poisson_13,poisson_14,poisson_15,poisson_16,poisson_17,poisson_18,poisson_19,poisson_20,poisson_21,poisson_22,poisson_23,poisson_24,label,id
-5.6418944006263345,-2.9598466306712936,-3.599351194273055,-0.05351894906281984,-0.16310091665246773,-2.75261577144866,-0.011511040687132379,-0.8972912171500695,-0.21647460589632317,-0.5111706698273224,-0.2665766637904028,-0.07202692955442558,-0.11411253138717825,-0.022391806731377528,-0.6849344621441844,-0.28275403318195913,-0.2998150408812279,-0.20900270302385593,-0.24059507536253477,-0.20858225517328322,-0.1791180543920916,-0.1320903252985346,-0.1258263151494532,-0.03342645995653015,0.0,1.0
-6.947643524534847,-2.9598466306712936,-3.599351194273055,-0.05351894906281984,-0.16310091665246773,-2.75261577144866,-0.011511040687132379,-0.8972912171500695,-0.21647460589632317,-0.5111706698273224,-0.2665766637904028,-0.07202692955442558,-0.11411253138717825,-0.022391806731377528,-0.6849344621441844,-0.28275403318195913,-0.2998150408812279,-0.20900270302385593,-0.24059507536253477,-0.20858225517328322,-0.1791180543920916,-0.1320903252985346,-0.1258263151494532,-0.03342645995653015,1.0,1.0
-4.815059187512695,-2.4606861999665313,-2.979762094784377,-0.05840711911932317,-0.07313493805213511,-2.323256219027371,-0.008759022598340938,-0.790760185151612,-0.14724039901113528,-0.2683906969866854,-0.12978484780498434,-0.04491454327758504,-0.05362594073709204,-0.026170190219332312,-0.7162022520377462,-0.3075891613522259,-0.34835575402492225,-0.2447984259654561,-0.26879601504313655,-0.23614055390295619,-0.21700622279861648,-0.16714520269838573,-0.17094542260863932,-0.04445268699305416,0.0,2.0
-5.34812395775068,-2.4606861999665313,-2.979762094784377,-0.05840711911932317,-0.07313493805213511,-2.323256219027371,-0.008759022598340938,-0.790760185151612,-0.14724039901113528,-0.2683906969866854,-0.12978484780498434,-0.04491454327758504,-0.05362594073709204,-0.026170190219332312,-0.7162022520377462,-0.3075891613522259,-0.34835575402492225,-0.2447984259654561,-0.26879601504313655,-0.23614055390295619,-0.21700622279861648,-0.16714520269838573,-0.17094542260863932,-0.04445268699305416,1.0,2.0
-4.6573505145754766,-2.3649853089261086,-2.8709733376357747,-0.06534131297448198,-0.12789275875186945,-2.1502619693788176,-0.017139143851485628,-0.7138044402903176,-0.15509074907256348,-0.34398257250864717,-0.15899185330219723,-0.042695116771895414,-0.05027864884890221,-0.021034272820948274,-0.6215692981721759,-0.25868202517835925,-0.2753854377976239,-0.1925158121438244,-0.24117609668044793,-0.2236400602941231,-0.20060677016194006,-0.16098920989417564,-0.15395393040714112,-0.07367915500196887,0.0,3.0
-5.434739582745976,-2.3649853089261086,-2.8709733376357747,-0.06534131297448198,-0.12789275875186945,-2.1502619693788176,-0.017139143851485628,-0.7138044402903176,-0.15509074907256348,-0.34398257250864717,-0.15899185330219723,-0.042695116771895414,-0.05027864884890221,-0.021034272820948274,-0.6215692981721759,-0.25868202517835925,-0.2753854377976239,-0.1925158121438244,-0.24117609668044793,-0.2236400602941231,-0.20060677016194006,-0.16098920989417564,-0.15395393040714112,-0.07367915500196887,1.0,3.0
-5.966654966318131,-3.099869902334902,-3.6086516283241394,-0.08529842669906884,-0.11664241389877361,-2.851443218595449,-0.010074831703825282,-0.9772403038046775,-0.19568657708605564,-0.44727435778931834,-0.2233577099608226,-0.045775988487235963,-0.05378999264959816,-0.023124259391849478,-0.8127682464602515,-0.3592511223578754,-0.40527256726758054,-0.2814898593749149,-0.40411388315504837,-0.2937401804566093,-0.2987248466676107,-0.2662845141342771,-0.27851154446454984,-0.06453615253191458,0.0,4.0
-7.878835274025349,-3.099869902334902,-3.6086516283241394,-0.08529842669906884,-0.11664241389877361,-2.851443218595449,-0.010074831703825282,-0.9772403038046775,-0.19568657708605564,-0.44727435778931834,-0.2233577099608226,-0.045775988487235963,-0.05378999264959816,-0.023124259391849478,-0.8127682464602515,-0.3592511223578754,-0.40527256726758054,-0.2814898593749149,-0.40411388315504837,-0.2937401804566093,-0.2987248466676107,-0.2662845141342771,-0.27851154446454984,-0.06453615253191458,1.0,4.0
-11.003232629389807,-6.308643012548714,-7.836108007648335,-0.14233313539881465,-0.2970552806388582,-6.190075528335257,-0.013957561928577888,-2.0946911128027637,-0.43802953124781396,-1.252885829770733,-0.5356968061901739,-0.15356038716272735,-0.32578669554521866,-0.019656553086676354,-1.609118246859964,-0.6719420426538534,-0.796285504313829,-0.4654813496767929,-0.6695909876116843,-0.5526468431794456,-0.5132440264271168,-0.4810089113365308,-0.5052888652982119,-0.03630667948128519,0.0,5.0
-12.365935585199239,-6.308643012548714,-7.836108007648335,-0.14233313539881465,-0.2970552806388582,-6.190075528335257,-0.013957561928577888,-2.0946911128027637,-0.43802953124781396,-1.252885829770733,-0.5356968061901739,-0.15356038716272735,-0.32578669554521866,-0.019656553086676354,-1.609118246859964,-0.6719420426538534,-0.796285504313829,-0.4654813496767929,-0.6695909876116843,-0.5526468431794456,-0.5132440264271168,-0.4810089113365308,-0.5052888652982119,-0.03630667948128519,1.0,5.0
-8.049718984790466,-4.371825929240558,-5.455458141192423,-0.06084361172263186,-0.19204892484361835,-4.30019810070786,-0.020948958954974728,-1.4707924300006425,-0.21026220665788742,-0.5821226011270326,-0.2928492646511103,-0.11708279745940331,-0.2121118398067665,-0.0253384166822741,-1.3092173881912572,-0.48676781965224336,-0.5173254314479294,-0.33028767601336995,-0.5239599143865803,-0.3864858257882986,-0.28204658085758183,-0.1892040594678548,-0.1906766981707051,-0.041471431712949425,0.0,6.0
-8.613546538028857,-4.371825929240558,-5.455458141192423,-0.06084361172263186,-0.19204892484361835,-4.30019810070786,-0.020948958954974728,-1.4707924300006425,-0.21026220665788742,-0.5821226011270326,-0.2928492646511103,-0.11708279745940331,-0.2121118398067665,-0.0253384166822741,-1.3092173881912572,-0.48676781965224336,-0.5173254314479294,-0.33028767601336995,-0.5239599143865803,-0.3864858257882986,-0.28204658085758183,-0.1892040594678548,-0.1906766981707051,-0.041471431712949425,1.0,6.0
-5.081011041070255,-2.635120231450017,-3.2276776866536636,-0.07501490054343662,-0.253774669429049,-2.315514714550943,-0.018653930063603497,-0.7554289611409217,-0.15016930132836137,-0.2768957079932868,-0.12606538695615654,-0.061265887496347204,-0.05729813812838813,-0.019915916114456422,-0.6562226828629605,-0.2954387759611734,-0.2904736303205908,-0.1908629546342695,-0.2701403845152299,-0.17672488654034169,-0.20077713470497827,-0.14506837682493767,-0.1396650907275614,-0.0312462092691419,0.0,7.0
-5.620848409974926,-2.635120231450017,-3.2276776866536636,-0.07501490054343662,-0.253774669429049,-2.315514714550943,-0.018653930063603497,-0.7554289611409217,-0.15016930132836137,-0.2768957079932868,-0.12606538695615654,-0.061265887496347204,-0.05729813812838813,-0.019915916114456422,-0.6562226828629605,-0.2954387759611734,-0.2904736303205908,-0.1908629546342695,-0.2701403845152299,-0.17672488654034169,-0.20077713470497827,-0.14506837682493767,-0.1396650907275614,-0.0312462092691419,1.0,7.0
-5.031720806247762,-2.268016145479052,-2.8361042801765706,-0.06198328625229976,-0.18591350097716486,-2.346475387772557,-0.006154331053309647,-0.7144316397804289,-0.281835482572518,-0.6639459094890157,-0.33303641311715637,-0.0963425302006442,-0.08750730869411427,-0.03486671547786102,-0.33086078561603927,-0.15277507318263162,-0.15671145714169654,-0.06905593565723223,-0.15085395698645243,-0.1694645711352507,-0.10424289242119755,-0.08024107278778558,-0.05846964455157888,-0.023105152769133497,0.0,8.0
-5.031720806247762,-7.851534744536615,-2.8361042801765706,-0.06198328625229976,-0.18591350097716486,-2.346475387772557,-0.006154331053309647,-0.7144316397804289,-0.281835482572518,-0.6639459094890157,-0.33303641311715637,-0.0963425302006442,-0.08750730869411427,-0.03486671547786102,-0.33086078561603927,-0.15277507318263162,-0.15671145714169654,-0.06905593565723223,-0.15085395698645243,-0.1694645711352507,-0.10424289242119755,-0.08024107278778558,-0.05846964455157888,-0.023105152769133497,1.0,8.0
-5.0420118497442274,-2.358557077024102,-2.9317681695118125,-0.05260027054207583,-0.11492265732826468,-2.5947545725404524,-0.010708627905046342,-0.841074540174759,-0.2696142601018465,-0.664424922437874,-0.34120511946525767,-0.10953169954078135,-0.12630596341944056,-0.04530565416341403,-0.44643361293763206,-0.21377009581768647,-0.24903647110313898,-0.096093419742175,-0.1981178740230689,-0.19783841924224532,-0.18786805277964902,-0.11263722842794266,-0.08564787109574468,-0.045235805984731314,0.0,9.0
-5.0420118497442274,-10.445570954359695,-2.9317681695118125,-0.05260027054207583,-0.11492265732826468,-2.5947545725404524,-0.010708627905046342,-0.841074540174759,-0.2696142601018465,-0.664424922437874,-0.34120511946525767,-0.10953169954078135,-0.12630596341944056,-0.04530565416341403,-0.44643361293763206,-0.21377009581768647,-0.24903647110313898,-0.096093419742175,-0.1981178740230689,-0.19783841924224532,-0.18786805277964902,-0.11263722842794266,-0.08564787109574468,-0.045235805984731314,1.0,9.0
-5.200285157289173,-2.4745852183284214,-3.0413732954194046,-0.05950928905434694,-0.13205490345586668,-2.65043726959226,-0.011270487379739791,-0.8015725094548429,-0.2895057985135736,-0.6620692108961634,-0.3203096272548578,-0.11775178933879715,-0.10020925308505468,-0.053756997371507964,-0.35342426539090965,-0.18893282817368118,-0.20330445274163367,-0.09570265056602523,-0.14399997865265846,-0.13354951124563286,-0.10560118153033216,-0.10085348482957102,-0.07643138944759187,-0.043681541147677194,0.0,10.0
-5.200285157289173,-9.509767808048835,-3.0413732954194046,-0.05950928905434694,-0.13205490345586668,-2.65043726959226,-0.011270487379739791,-0.8015725094548429,-0.2895057985135736,-0.6620692108961634,-0.3203096272548578,-0.11775178933879715,-0.10020925308505468,-0.053756997371507964,-0.35342426539090965,-0.18893282817368118,-0.20330445274163367,-0.09570265056602523,-0.14399997865265846,-0.13354951124563286,-0.10560118153033216,-0.10085348482957102,-0.07643138944759187,-0.043681541147677194,1.0,10.0
-7.072403593028255,-3.4870749856855383,-4.293153302974886,-0.08253334503844556,-0.22715276399452478,-3.5640215849370804,-0.009101064606795717,-1.0445309388493058,-0.3815272060124357,-1.0345119959499698,-0.5407798388643528,-0.2241157652552488,-0.2662257095906284,-0.12202227518702102,-0.4960941078940877,-0.22224409553077917,-0.331127993276624,-0.11792148407492675,-0.1746542289471904,-0.17880293411984383,-0.15485854513728725,-0.14673954936152,-0.12666470996884982,-0.05995816802960974,0.0,11.0
-7.072403593028255,-11.924516875192033,-4.293153302974886,-0.08253334503844556,-0.22715276399452478,-3.5640215849370804,-0.009101064606795717,-1.0445309388493058,-0.3815272060124357,-1.0345119959499698,-0.5407798388643528,-0.2241157652552488,-0.2662257095906284,-0.12202227518702102,-0.4960941078940877,-0.22224409553077917,-0.331127993276624,-0.11792148407492675,-0.1746542289471904,-0.17880293411984383,-0.15485854513728725,-0.14673954936152,-0.12666470996884982,-0.05995816802960974,1.0,11.0
-12.236582840496169,-6.451138036613941,-8.091426277909022,-0.08280762919189044,-0.26372477955260365,-7.061600856345365,-0.014440572240445704,-2.1979210556502267,-0.9637384814822383,-2.425867754919153,-1.2513359656297496,-0.5266777350358325,-0.6152977431935369,-0.17255671436177522,-0.8227400498427073,-0.39335932758611847,-0.5135608209578209,-0.20056231681476788,-0.3691479449925623,-0.39940695009343585,-0.39696891462983785,-0.2624918282022435,-0.2580646322968789,-0.13968656295267579,0.0,12.0
-12.236582840496169,-16.08264092079412,-8.091426277909022,-0.08280762919189044,-0.26372477955260365,-7.061600856345365,-0.014440572240445704,-2.1979210556502267,-0.9637384814822383,-2.425867754919153,-1.2513359656297496,-0.5266777350358325,-0.6152977431935369,-0.17255671436177522,-0.8227400498427073,-0.39335932758611847,-0.5135608209578209,-0.20056231681476788,-0.3691479449925623,-0.39940695009343585,-0.39696891462983785,-0.2624918282022435,-0.2580646322968789,-0.13968656295267579,1.0,12.0
-7.682944394369443,-3.902007266556467,-4.867194850008332,-0.09238969798224872,-0.2813932707526874,-4.104547216496286,-0.018378370967241153,-1.2418934349397261,-0.48745902393463325,-1.3185543612371902,-0.7207571619015312,-0.19338110753798787,-0.1791249967710371,-0.19719829190898963,-0.5003580743592835,-0.2341416547547439,-0.3146423195470618,-0.1327958207883171,-0.21488824116931937,-0.23495444507506136,-0.18494484233659136,-0.1572824679096101,-0.143174320065242,-0.06984158261698781,0.0,13.0
-7.682944394369443,-11.507146294081636,-4.867194850008332,-0.09238969798224872,-0.2813932707526874,-4.104547216496286,-0.018378370967241153,-1.2418934349397261,-0.48745902393463325,-1.3185543612371902,-0.7207571619015312,-0.19338110753798787,-0.1791249967710371,-0.19719829190898963,-0.5003580743592835,-0.2341416547547439,-0.3146423195470618,-0.1327958207883171,-0.21488824116931937,-0.23495444507506136,-0.18494484233659136,-0.1572824679096101,-0.143174320065242,-0.06984158261698781,1.0,13.0
-5.068889170080922,-2.5134188160981807,-3.102251894976277,-0.05106133420604919,-0.14364503089997527,-2.946347737192454,-0.011534164585363271,-0.9120573394872906,-0.27858252466862155,-0.7415254137951095,-0.41132352853691145,-0.1070411510650473,-0.09510453999909885,-0.07068134607695242,-0.5012213945194972,-0.23230668898622397,-0.28608948324642824,-0.09640051449714804,-0.1490752655205938,-0.16688466691033454,-0.09256934358846536,-0.08300423074491903,-0.06443109028343486,-0.023000786478590385,0.0,14.0
-5.068889170080922,-11.625642403276053,-3.102251894976277,-0.05106133420604919,-0.14364503089997527,-2.946347737192454,-0.011534164585363271,-0.9120573394872906,-0.27858252466862155,-0.7415254137951095,-0.41132352853691145,-0.1070411510650473,-0.09510453999909885,-0.07068134607695242,-0.5012213945194972,-0.23230668898622397,-0.28608948324642824,-0.09640051449714804,-0.1490752655205938,-0.16688466691033454,-0.09256934358846536,-0.08300423074491903,-0.06443109028343486,-0.023000786478590385,1.0,14.0
-5.957100339072014,-3.0932810704004794,-3.8557077099645483,-0.03616278860026512,-0.13266498546767025,-3.08527554546032,-0.05538405493318521,-0.988980601291928,-0.3437926980944894,-0.8804389370541372,-0.364035519290411,-0.15531727182309396,-0.11967611868814743,-0.07660707190916582,-0.643256556967259,-0.2971995452524965,-0.2743619659482377,-0.15992555116767448,-0.3523585592406562,-0.26553279805453656,-0.3245199994481709,-0.16632834711921873,-0.1297854708704591,-0.13110153552685233,0.0,15.0
-9.088386157377954,-3.0932810704004794,-3.8557077099645483,-0.03616278860026512,-0.13266498546767025,-3.08527554546032,-0.05538405493318521,-0.988980601291928,-0.3437926980944894,-0.8804389370541372,-0.364035519290411,-0.15531727182309396,-0.11967611868814743,-0.07660707190916582,-0.643256556967259,-0.2971995452524965,-0.2743619659482377,-0.15992555116767448,-0.3523585592406562,-0.26553279805453656,-0.3245199994481709,-0.16632834711921873,-0.1297854708704591,-0.13110153552685233,1.0,15.0
-5.304940269846156,-2.5689614509193532,-3.1857355074794,-0.04054541623088426,-0.0843920602018784,-2.631915771058118,-0.08732219492071636,-0.8050679716087501,-0.2536789127286596,-0.6539072012915739,-0.30551307997636457,-0.15707889440579947,-0.05578342316271545,-0.09163741494521105,-0.5269567497936194,-0.24229847234801127,-0.23245684110101905,-0.17654844662675373,-0.24240293061112084,-0.1588114671564398,-0.17320079287949852,-0.10671401096153943,-0.08775839871005076,-0.07413159480452691,0.0,16.0
-8.902939584616291,-2.5689614509193532,-3.1857355074794,-0.04054541623088426,-0.0843920602018784,-2.631915771058118,-0.08732219492071636,-0.8050679716087501,-0.2536789127286596,-0.6539072012915739,-0.30551307997636457,-0.15707889440579947,-0.05578342316271545,-0.09163741494521105,-0.5269567497936194,-0.24229847234801127,-0.23245684110101905,-0.17654844662675373,-0.24240293061112084,-0.1588114671564398,-0.17320079287949852,-0.10671401096153943,-0.08775839871005076,-0.07413159480452691,1.0,16.0
-6.03464908979042,-3.006932149572876,-3.6168798427249413,-0.04195225401869607,-0.12952554388763815,-2.989885395819698,-0.1311768284095649,-0.8968057970619157,-0.3787283787180371,-1.0976552195711804,-0.4356901561891675,-0.22190630040910264,-0.08439717246970702,-0.06418583148334278,-0.5414877262213267,-0.25269286342512487,-0.23410223545657516,-0.14112257093759695,-0.24924280427956091,-0.20505136373570565,-0.20674158626894723,-0.10655533963293351,-0.08714684491853575,-0.07643825012794991,0.0,17.0
-13.95418967800262,-3.006932149572876,-3.6168798427249413,-0.04195225401869607,-0.12952554388763815,-2.989885395819698,-0.1311768284095649,-0.8968057970619157,-0.3787283787180371,-1.0976552195711804,-0.4356901561891675,-0.22190630040910264,-0.08439717246970702,-0.06418583148334278,-0.5414877262213267,-0.25269286342512487,-0.23410223545657516,-0.14112257093759695,-0.24924280427956091,-0.20505136373570565,-0.20674158626894723,-0.10655533963293351,-0.08714684491853575,-0.07643825012794991,1.0,17.0
