poisson_1,poisson_2,poisson_3,poisson_4,label,id
-15.001044028816068,-2.3081800447960177,-1.3547720129915888,-0.8207668297166038,0.0,1.0
-33.72172269940529,-2.3081800447960177,-1.3547720129915888,-0.8207668297166038,1.0,1.0
-14.389576674245632,-2.721000645626191,-1.1463084262112488,-0.5568825976965854,0.0,2.0
-33.25339508119043,-2.721000645626191,-1.1463084262112488,-0.5568825976965854,1.0,2.0
-13.59597616923088,-2.233927051698174,-1.041427113737086,-0.5476807360786324,0.0,3.0
-34.77192530604589,-2.233927051698174,-1.041427113737086,-0.5476807360786324,1.0,3.0
-17.947494847664075,-3.1564385946848006,-1.61592048217301,-1.43161673395457,0.0,4.0
-35.76328263886103,-3.1564385946848006,-1.61592048217301,-1.43161673395457,1.0,4.0
-23.87549350026393,-4.495671245604626,-2.0017287912473876,-1.5325044647333925,0.0,5.0
-43.30276796091175,-4.495671245604626,-2.0017287912473876,-1.5325044647333925,1.0,5.0
-21.065052814613182,-3.8384857651160473,-2.1660706333278767,-1.6611983887692077,0.0,6.0
-41.60695464789251,-3.8384857651160473,-2.1660706333278767,-1.6611983887692077,1.0,6.0
-14.57638355989377,-3.2660206665264013,-1.1854208318895871,-0.9989596625974855,0.0,7.0
-33.60000663824087,-3.2660206665264013,-1.1854208318895871,-0.9989596625974855,1.0,7.0
-15.316839089815744,-2.0309764460056385,-1.333351349480722,-0.9453720004203205,0.0,8.0
-31.598253859521833,-2.0309764460056385,-1.333351349480722,-0.9453720004203205,1.0,8.0
-16.696505678162225,-3.276101870102252,-1.2113916865735064,-0.824693700231137,0.0,9.0
-37.55836265562175,-3.276101870102252,-1.2113916865735064,-0.824693700231137,1.0,9.0
-15.094866124364557,-3.093904944982114,-1.1172195874855788,-0.6725669846434812,0.0,10.0
-37.74979227611175,-3.093904944982114,-1.1172195874855788,-0.6725669846434812,1.0,10.0
-20.362089854123724,-4.5721258480189135,-1.7356930993120159,-1.5425305278673704,0.0,11.0
-46.45538472108467,-4.5721258480189135,-1.7356930993120159,-1.5425305278673704,1.0,11.0
-42.943932075894736,-7.9239244048744695,-2.768395472354541,-1.880066332264846,0.0,12.0
