poisson_1,poisson_2,poisson_3,poisson_4,label,id
-15.58733840371508,-2.1084967346505437,-1.5729532378552449,-0.8243495861719339,0.0,1.0
-17.136955562978756,-2.1084967346505437,-1.5729532378552449,-0.8243495861719339,1.0,1.0
-12.98457131479688,-1.4624727224802996,-1.7253727607544533,-0.9982463452968204,0.0,2.0
-13.58698107766702,-1.4624727224802996,-1.7253727607544533,-0.9982463452968204,1.0,2.0
-12.496416668209008,-1.4885781533768068,-1.4359134269679998,-0.9683445739196941,0.0,3.0
-13.374031936199003,-1.4885781533768068,-1.4359134269679998,-0.9683445739196941,1.0,3.0
-16.080686596252463,-1.9722724795659587,-2.066046977819724,-1.404367286339152,0.0,4.0
-18.29992527608249,-1.9722724795659587,-2.066046977819724,-1.404367286339152,1.0,4.0
-33.7022318468471,-4.856591327225942,-3.825597061024837,-2.4798791737755437,0.0,5.0
-35.8416760101054,-4.856591327225942,-3.825597061024837,-2.4798791737755437,1.0,5.0
-23.30214635559537,-2.921061537776609,-2.924370456861425,-1.3350716982781705,0.0,6.0
-24.017591162289136,-2.921061537776609,-2.924370456861425,-1.3350716982781705,1.0,6.0
-13.959310315041648,-1.4507971467119205,-1.5761941459902573,-0.822986909068959,0.0,7.0
-14.589173623408215,-1.4507971467119205,-1.5761941459902573,-0.822986909068959,1.0,7.0
-12.87081194725181,-2.214379367675747,-0.7465981593516062,-0.5497950568828855,0.0,8.0
-21.368950778666658,-2.214379367675747,-0.7465981593516062,-0.5497950568828855,1.0,8.0
-13.20965919602179,-2.399587786601387,-1.0548283866103247,-0.7801899003119388,0.0,9.0
-23.87980627849265,-2.399587786601387,-1.0548283866103247,-0.7801899003119388,1.0,9.0
-13.687288037760254,-2.3469510961623428,-0.860028220090669,-0.5672491054398847,0.0,10.0
-22.935939849763827,-2.3469510961623428,-0.860028220090669,-0.5672491054398847,1.0,10.0
-19.039379307584795,-3.6159793443518993,-1.2177196465166276,-0.8023751236933094,0.0,11.0
-30.489669860742424,-3.6159793443518993,-1.2177196465166276,-0.8023751236933094,1.0,11.0
-35.542922140743826,-8.165967219360027,-2.0114234878459456,-1.7503590514613734,0.0,12.0
-48.68194863726501,-8.165967219360027,-2.0114234878459456,-1.7503590514613734,1.0,12.0
-21.444364744492987,-4.346424402531966,-1.2324917202523693,-0.9564947320938018,0.0,13.0
-30.842627179558235,-4.346424402531966,-1.2324917202523693,-0.9564947320938018,1.0,13.0
-14.00560518957559,-2.6225735059852013,-1.1616728540967074,-0.5361518803907188,0.0,14.0
-25.75310666745429,-2.6225735059852013,-1.1616728540967074,-0.5361518803907188,1.0,14.0
-16.68438443901846,-2.9354097708380777,-1.5126578599862341,-1.235117023083376,0.0,15.0
-20.564957015616983,-2.9354097708380777,-1.5126578599862341,-1.235117023083376,1.0,15.0
-14.242141828556328,-2.325589378922132,-1.2509744851345204,-0.7730482941999526,0.0,16.0
-18.20010204981361,-2.325589378922132,-1.2509744851345204,-0.7730482941999526,1.0,16.0
-16.557415604024754,-3.186930225050787,-1.2398451180829397,-0.8633467430980772,0.0,17.0
-26.390668122547595,-3.186930225050787,-1.2398451180829397,-0.8633467430980772,1.0,17.0
-21.30496037844091,-4.8957338314767185,-1.3945761297302397,-0.9746905868138356,0.0,18.0
-32.259817902147574,-4.8957338314767185,-1.3945761297302397,-0.9746905868138356,1.0,18.0
-32.72891618535027,-7.687687583637398,-1.4841162018881278,-1.0230898827900319,0.0,19.0
-46.570857933052594,-7.687687583637398,-1.4841162018881278,-1.0230898827900319,1.0,19.0
-22.947374920809352,-3.9646525420744183,-1.1616456302410825,-1.0253768100944853,0.0,20.0
-29.161604775701335,-3.9646525420744183,-1.1616456302410825,-1.0253768100944853,1.0,20.0
-12.942219796731479,-1.877211982657741,-0.9278204993262307,-0.9126684816354782,0.0,21.0
-16.931699844030618,-1.877211982657741,-0.9278204993262307,-0.9126684816354782,1.0,21.0
-11.466410076304442,-1.5063311016193666,-1.0295216816646189,-0.6520766540659224,0.0,22.0
-21.2063496197037,-1.5063311016193666,-1.0295216816646189,-0.6520766540659224,1.0,22.0
-12.149969950348236,-2.1250002827287062,-0.9675451156631425,-0.5296920466357733,0.0,23.0
-21.754875409459032,-2.1250002827287062,-0.9675451156631425,-0.5296920466357733,1.0,23.0
-11.944630739985314,-2.1593486186151267,-1.1349498562774443,-0.646441018392693,0.0,24.0
-24.59341479779789,-2.1593486186151267,-1.1349498562774443,-0.646441018392693,1.0,24.0
-16.441350045051536,-2.698743653425936,-1.2878063304337957,-0.6755982031511394,0.0,25.0
-32.26882136778761,-2.698743653425936,-1.2878063304337957,-0.6755982031511394,1.0,25.0
-25.46977111778051,-4.5953100557437665,-1.6562205712862124,-0.6012812151675462,0.0,26.0
-47.204010640715296,-4.5953100557437665,-1.6562205712862124,-0.6012812151675462,1.0,26.0
-19.031717523119937,-3.4396236508646325,-1.5290661167306325,-0.7046865698483771,0.0,27.0
-36.056968827513174,-3.4396236508646325,-1.5290661167306325,-0.7046865698483771,1.0,27.0
-10.809858100381348,-1.7851648015895307,-0.8568193026388826,-0.6209408478604246,0.0,28.0
