poisson_1,poisson_2,label,id
-18.94869888754647,-2.0626263737892714,0.0,1.0
-57.10762370388716,-2.0626263737892714,1.0,1.0
-16.931773167727897,-1.615455577120656,0.0,2.0
-56.21559174347067,-1.615455577120656,1.0,2.0
-16.582428542407797,-1.8577701340238946,0.0,3.0
-55.27395550508845,-1.8577701340238946,1.0,3.0
-24.738792520397055,-2.0477757114999804,0.0,4.0
-62.85523057575119,-2.0477757114999804,1.0,4.0
-39.44202588965345,-3.004965439654825,0.0,5.0
-78.5298663692729,-3.004965439654825,1.0,5.0
-26.834770455021953,-2.2738111974188087,0.0,6.0
-75.56593165682352,-2.2738111974188087,1.0,6.0
-19.254630190145235,-1.7349655489365432,0.0,7.0
-84.44418985207176,-1.7349655489365432,1.0,7.0
-19.14496676699264,-2.1152891538772565,0.0,8.0
-35.494757897523414,-2.1152891538772565,1.0,8.0
-20.949268569794185,-2.9476498933358926,0.0,9.0
-35.04246234851985,-2.9476498933358926,1.0,9.0
-18.694386182042535,-2.0994077222128453,0.0,10.0
-34.03539944524209,-2.0994077222128453,1.0,10.0
-24.43125853398169,-2.8336695711345783,0.0,11.0
-36.87898658763061,-2.8336695711345783,1.0,11.0
-41.3682345947891,-5.293504335366151,0.0,12.0
-60.00853637817545,-5.293504335366151,1.0,12.0
-29.759427707236227,-3.7247823157561015,0.0,13.0
-49.012068256872226,-3.7247823157561015,1.0,13.0
-21.278413767992333,-2.622990340313663,0.0,14.0
-33.64979248216332,-2.622990340313663,1.0,14.0
-18.668505214693596,-1.7675358022181626,0.0,15.0
-24.02044236357233,-1.7675358022181626,1.0,15.0
-18.296070785780103,-1.1567100134900556,0.0,16.0
-26.355426366082156,-1.1567100134900556,1.0,16.0
-19.406163688923698,-1.7444211452898344,0.0,17.0
-27.598240023974995,-1.7444211452898344,1.0,17.0
-29.90014842294977,-1.9821996535149538,0.0,18.0
-37.9434272171884,-1.9821996535149538,1.0,18.0
-48.18626858423568,-3.8282413968031506,0.0,19.0
-56.08496702469756,-3.8282413968031506,1.0,19.0
-25.499692434704684,-1.6843108612242759,0.0,20.0
-32.08123004055051,-1.6843108612242759,1.0,20.0
-18.691007165403335,-1.1656176833075733,0.0,21.0
-24.571668722628146,-1.1656176833075733,1.0,21.0
-19.74833544577359,-1.7288997658538392,0.0,22.0
-27.408443796325628,-1.7288997658538392,1.0,22.0
-16.288642008377565,-1.6984402879677418,0.0,23.0
-21.00732157165521,-1.6984402879677418,1.0,23.0
-19.774769046103756,-1.590297973210454,0.0,24.0
-27.02194924146397,-1.590297973210454,1.0,24.0
-24.891951074515873,-2.924416982201137,0.0,25.0
-29.181785510467762,-2.924416982201137,1.0,25.0
-45.227696766832196,-6.675087773520318,0.0,26.0
-49.73164425766163,-6.675087773520318,1.0,26.0
-25.734092297996085,-2.157111217936972,0.0,27.0
-30.503736901007414,-2.157111217936972,1.0,27.0
-18.629965080664306,-1.7691457612445447,0.0,28.0
-27.61050193608412,-1.7691457612445447,1.0,28.0
-15.876284076739466,-1.6867857858110256,0.0,29.0
-31.46813789742282,-1.6867857858110256,1.0,29.0
-16.7764394648309,-2.0976956186023017,0.0,30.0
-35.25354064575686,-2.0976956186023017,1.0,30.0
-18.493990518551072,-2.3001228843047556,0.0,31.0
-34.97667231265086,-2.3001228843047556,1.0,31.0
-28.315269193382846,-2.976847233689341,0.0,32.0
-52.211964482432904,-2.976847233689341,1.0,32.0
-41.93768061212086,-4.789797523498692,0.0,33.0
-61.04190869521062,-4.789797523498692,1.0,33.0
-26.159748955676605,-2.3971593648905127,0.0,34.0
-44.75247299260991,-2.3971593648905127,1.0,34.0
-17.266245904045263,-1.512808189385396,0.0,35.0
-41.74031256004855,-1.512808189385396,1.0,35.0
-19.906865793029738,-2.5300245987746166,0.0,36.0
-24.753960324643003,-2.5300245987746166,1.0,36.0
-22.45483622650727,-3.4284350100610936,0.0,37.0
-27.248847509071084,-3.4284350100610936,1.0,37.0
-21.792124278885467,-3.3459182626756956,0.0,38.0
-27.748809239705224,-3.3459182626756956,1.0,38.0
-33.57075952626337,-7.930878135052353,0.0,39.0
-39.49921721632791,-7.930878135052353,1.0,39.0
-40.0360998087458,-8.139414651818697,0.0,40.0
-44.95933939971428,-8.139414651818697,1.0,40.0
-33.9102368840513,-6.089408777320841,0.0,41.0
-39.0138645411912,-6.089408777320841,1.0,41.0
-24.60266215920592,-3.7877728680757627,0.0,42.0
-30.679271523018542,-3.7877728680757627,1.0,42.0
-20.36088046668965,-2.1042762641836816,0.0,43.0
-53.87337423486724,-2.1042762641836816,1.0,43.0
-17.412007015562722,-2.0636767236585456,0.0,44.0
-47.08170075776002,-2.0636767236585456,1.0,44.0
-18.214836480914983,-2.256143088549834,0.0,45.0
-44.22797043014589,-2.256143088549834,1.0,45.0
-24.855618729718117,-3.1559185985890963,0.0,46.0
-47.012575030520566,-3.1559185985890963,1.0,46.0
-27.368716830850644,-3.024346018330334,0.0,47.0
-68.63927358852652,-3.024346018330334,1.0,47.0
-24.82033160330093,-2.706441330507232,0.0,48.0
-62.01284065708796,-2.706441330507232,1.0,48.0
-20.504043624973065,-2.518364420594253,0.0,49.0
-43.54520188262063,-2.518364420594253,1.0,49.0
-20.317367869838108,-2.2765890163841505,0.0,50.0
-37.17284923901161,-2.2765890163841505,1.0,50.0
-20.967135241715823,-2.398842056727972,0.0,51.0
