power_error_1,power_error_2,label,id
0.01535318450036415,0.0029974598397267127,0.0,1.0
0.03237097123315177,0.0029974598397267127,1.0,1.0
0.016283373095844367,0.002481383959815815,0.0,2.0
0.03471224400226548,0.002481383959815815,1.0,2.0
0.014988119211123063,0.0023753797709119067,0.0,3.0
0.03555610651424295,0.0023753797709119067,1.0,3.0
0.017616041623195102,0.004110003065152465,0.0,4.0
0.03285276201684432,0.004110003065152465,1.0,4.0
0.01980338915991062,0.004205429611930965,0.0,5.0
0.03373078375009952,0.004205429611930965,1.0,5.0
0.019302699245867652,0.004328250402278419,0.0,6.0
0.03571003231155687,0.004328250402278419,1.0,6.0
0.015639794885725606,0.003246784105476958,0.0,7.0
0.03277282185777809,0.003246784105476958,1.0,7.0
0.016928916693655503,0.0029101355068009106,0.0,8.0
0.03324125343293108,0.0029101355068009106,1.0,8.0
0.019728970840309935,0.002942347112949651,0.0,9.0
0.04113668150889793,0.002942347112949651,1.0,9.0
0.018234534126124188,0.0026573644467896445,0.0,10.0
0.04181955496323876,0.0026573644467896445,1.0,10.0
0.021731083677547912,0.003948509920227153,0.0,11.0
0.04544600972136528,0.003948509920227153,1.0,11.0
0.029753968254809398,0.004553076883527022,0.0,12.0
0.061251001610582265,0.004553076883527022,1.0,12.0
0.020426958541205315,0.002988024594445238,0.0,13.0
0.043324112324170445,0.002988024594445238,1.0,13.0
0.017321052112310404,0.003025719190999518,0.0,14.0
0.05251997935213785,0.003025719190999518,1.0,14.0
0.01577689894957347,0.004034796925874867,0.0,15.0
0.060580632956617295,0.004034796925874867,1.0,15.0
0.018456466271913167,0.006135303053951267,0.0,16.0
0.05996220935440455,0.006135303053951267,1.0,16.0
0.016602016175665694,0.006425334997422759,0.0,17.0
0.059064360776177105,0.006425334997422759,1.0,17.0
0.019379456524903072,0.0069086421270415305,0.0,18.0
0.06557377977083474,0.0069086421270415305,1.0,18.0
0.02276553653126676,0.0060498384751706494,0.0,19.0
0.06247298178249725,0.0060498384751706494,1.0,19.0
0.01974102092365326,0.005173478072030754,0.0,20.0
0.059254989161034125,0.005173478072030754,1.0,20.0
0.02058179123494631,0.00607633539864912,0.0,21.0
0.0649321587304269,0.00607633539864912,1.0,21.0
0.017504243302085703,0.00363330395717661,0.0,22.0
