power_error_1,power_error_2,label,id
0.020534446633797165,0.0035517231552835414,0.0,1.0
0.031266290157366684,0.0035517231552835414,1.0,1.0
0.021942108764198748,0.004514216236218024,0.0,2.0
0.029467193242373138,0.004514216236218024,1.0,2.0
0.02322554210737418,0.004717075225185476,0.0,3.0
0.033696504248393204,0.004717075225185476,1.0,3.0
0.024452349835640673,0.0040051028326087415,0.0,4.0
0.034014904363885344,0.0040051028326087415,1.0,4.0
0.02938411736686732,0.004414664296822676,0.0,5.0
0.03537390827584414,0.004414664296822676,1.0,5.0
0.022178194838344368,0.003262135957960041,0.0,6.0
0.029345129943416648,0.003262135957960041,1.0,6.0
0.019317765934120514,0.0038553082557081135,0.0,7.0
0.02874619425690238,0.0038553082557081135,1.0,7.0
0.017561436895675676,0.005304962773475807,0.0,8.0
0.03221632235229916,0.005304962773475807,1.0,8.0
0.02042411690185683,0.006304761499916155,0.0,9.0
0.037379757107024646,0.006304761499916155,1.0,9.0
0.02460837383683952,0.006999672034399375,0.0,10.0
0.042560439214472015,0.006999672034399375,1.0,10.0
0.02318188474774688,0.005181957192829221,0.0,11.0
0.03805119068648335,0.005181957192829221,1.0,11.0
0.024099267767143773,0.005768414284307049,0.0,12.0
0.03371575143860525,0.005768414284307049,1.0,12.0
0.018176765680519298,0.0038693114375558065,0.0,13.0
0.030071194118620314,0.0038693114375558065,1.0,13.0
0.024893318325112556,0.00577225147760258,0.0,14.0
0.04424859237350184,0.00577225147760258,1.0,14.0
0.015582550381751327,0.004407195787866753,0.0,15.0
0.03499296622183544,0.004407195787866753,1.0,15.0
0.02058100109902545,0.01172433876201881,0.0,16.0
0.037063556703758764,0.01172433876201881,1.0,16.0
0.020665322550371297,0.009094320154071769,0.0,17.0
0.04008929519910973,0.009094320154071769,1.0,17.0
0.025024963112020293,0.006982251846472978,0.0,18.0
0.041912823163351313,0.006982251846472978,1.0,18.0
0.027067068055253794,0.005291601421798423,0.0,19.0
0.03950486037539125,0.005291601421798423,1.0,19.0
0.022949483493450145,0.0043394686348421025,0.0,20.0
0.03981921044647175,0.0043394686348421025,1.0,20.0
0.01979535412284794,0.007899611285947452,0.0,21.0
0.041274662115403954,0.007899611285947452,1.0,21.0
0.02024365878404119,0.0077433090146123125,0.0,22.0
0.031198665247233304,0.0077433090146123125,1.0,22.0
0.025593688442859464,0.018646474708084296,0.0,23.0
0.041917856868373224,0.018646474708084296,1.0,23.0
0.029578015360718014,0.014903316677743063,0.0,24.0
0.04391612821416809,0.014903316677743063,1.0,24.0
0.023411662906827883,0.012871055030304442,0.0,25.0
0.03473850629505517,0.012871055030304442,1.0,25.0
0.02707422069656084,0.00429482609303954,0.0,26.0
