cm_1_power,cm_2_power,cm_3_power,cm_4_power,cm_5_power,cm_6_power,cm_7_power,cm_8_power,cm_9_power,cm_10_power,load_1_power,load_2_power,load_3_power,load_4_power,load_5_power,load_6_power,load_7_power,load_8_power,load_9_power,load_10_power,load_11_power,load_12_power,load_13_power,load_14_power,load_15_power,load_16_power,load_17_power,load_18_power,load_19_power,load_20_power,load_21_power,load_22_power,load_23_power,load_24_power,load_25_power,load_26_power,load_27_power,load_28_power,load_29_power,load_30_power,load_31_power,load_32_power,load_33_power,load_34_power,load_35_power,load_36_power,load_37_power,load_38_power,load_39_power,load_40_power,load_41_power,load_42_power,load_43_power,load_44_power,load_45_power,load_46_power,load_47_power,load_48_power,load_49_power,load_50_power,load_51_power,load_52_power,load_53_power,load_54_power,load_55_power,label,id
144.494751,86.949907,70.960415,115.613033,62.165933,116.248341,148.296682,179.770491,130.033484,148.968576,24.777388,-13.138359,22.375208,50.838388,28.537126,20.400055,6.872364,44.628846,-3.641882,19.334748,18.435766,1.193934,4.977295,8.361109,3.804625,14.862379,38.926007,10.438047,31.055403,27.921189,33.446955,-3.841912,15.417221,12.914166,9.56174,-5.613634,-0.916407,61.238237,35.663861,-13.426053,15.856357,47.563179,30.544683,14.241328,5.65298,37.413817,42.472001,56.211026,14.510717,26.216612,14.555278,33.724828,61.329944,32.25156,15.876218,8.715658,13.191701,6.087246,60.22942,12.262587,18.472325,27.772886,13.738058,54.592275,20.532618,0.0,1.0
144.494751,86.949907,70.960415,115.613033,62.165933,116.248341,148.296682,179.770491,130.033484,148.968576,3.281519,-13.138359,22.375208,50.838388,28.537126,20.400055,6.872364,44.628846,-3.641882,19.334748,18.435766,1.193934,4.977295,8.361109,3.804625,14.862379,38.926007,10.438047,31.055403,27.921189,33.446955,-3.841912,15.417221,12.914166,9.56174,-5.613634,-0.916407,61.238237,35.663861,-13.426053,15.856357,47.563179,30.544683,14.241328,5.65298,37.413817,42.472001,56.211026,14.510717,26.216612,14.555278,33.724828,61.329944,32.25156,15.876218,8.715658,13.191701,6.087246,60.22942,12.262587,18.472325,27.772886,13.738058,54.592275,20.532618,1.0,1.0
120.324825,87.050639,56.790705,95.458771,44.696299,78.697253,80.593752,84.798529,117.161306,113.798173,18.131165,-9.211687,13.732182,45.620795,22.302147,20.017624,1.693765,39.061691,-8.344735,49.043426,1.066805,4.389744,10.794702,8.51795,-2.494402,6.60468,33.339242,18.711597,11.056919,27.26069,35.658418,-7.03782,8.821129,21.526329,10.539047,-8.757412,-1.731571,30.054045,30.7917,-26.503977,17.652417,39.827204,33.508929,11.98163,-11.330007,47.352468,9.032763,26.218558,11.097116,19.416188,11.523136,30.324745,38.594864,-0.994697,5.688321,-2.329947,7.25572,-0.356559,19.643892,9.201533,18.665687,29.48035,15.70408,61.54942,13.450069,0.0,2.0
120.324825,87.050639,56.790705,95.458771,44.696299,78.697253,80.593752,84.798529,117.161306,113.798173,-8.192308,-9.211687,13.732182,45.620795,22.302147,20.017624,1.693765,39.061691,-8.344735,49.043426,1.066805,4.389744,10.794702,8.51795,-2.494402,6.60468,33.339242,18.711597,11.056919,27.26069,35.658418,-7.03782,8.821129,21.526329,10.539047,-8.757412,-1.731571,30.054045,30.7917,-26.503977,17.652417,39.827204,33.508929,11.98163,-11.330007,47.352468,9.032763,26.218558,11.097116,19.416188,11.523136,30.324745,38.594864,-0.994697,5.688321,-2.329947,7.25572,-0.356559,19.643892,9.201533,18.665687,29.48035,15.70408,61.54942,13.450069,1.0,2.0
140.802858,33.08692,66.381115,104.565929,36.470968,70.889647,80.17242,130.646726,101.08225,129.217915,8.344954,-3.041638,13.277323,55.75481,22.442544,34.723563,-6.452384,41.359773,-16.525345,17.000302,-6.772068,4.361265,11.657717,8.688262,3.101565,8.419746,34.48467,13.362384,16.331093,24.700092,36.96087,-3.476456,15.825273,13.101923,6.712125,-8.084795,-3.155343,31.802136,23.932357,-23.671464,16.535405,40.92807,34.604714,12.785857,-4.926996,39.334443,1.779628,26.663536,7.968203,12.0188,13.009663,29.48099,45.733366,4.904581,7.780069,2.536089,8.438101,2.25026,61.506375,10.094798,14.028795,34.598268,15.115451,53.973808,15.115697,0.0,3.0
140.802858,33.08692,66.381115,104.565929,36.470968,70.889647,80.17242,130.646726,101.08225,129.217915,-19.342681,-3.041638,13.277323,55.75481,22.442544,34.723563,-6.452384,41.359773,-16.525345,17.000302,-6.772068,4.361265,11.657717,8.688262,3.101565,8.419746,34.48467,13.362384,16.331093,24.700092,36.96087,-3.476456,15.825273,13.101923,6.712125,-8.084795,-3.155343,31.802136,23.932357,-23.671464,16.535405,40.92807,34.604714,12.785857,-4.926996,39.334443,1.779628,26.663536,7.968203,12.0188,13.009663,29.48099,45.733366,4.904581,7.780069,2.536089,8.438101,2.25026,61.506375,10.094798,14.028795,34.598268,15.115451,53.973808,15.115697,1.0,3.0
161.666298,24.928401,63.625724,156.85285,27.184206,89.239962,115.819738,134.719834,125.569479,112.902271,17.770451,4.352492,14.988757,66.756626,21.648607,24.035977,-5.367282,27.59346,-10.952268,14.658465,-6.64907,5.549424,14.85864,8.579907,2.082135,6.144667,31.930492,12.94464,60.834489,31.230791,32.807084,-2.868274,20.574398,13.140293,7.52609,-7.185817,-3.026771,33.500274,22.590895,-30.166046,17.424684,38.574859,42.073334,9.504683,-12.492187,59.580899,-0.129352,36.43097,11.495525,14.869045,10.385738,24.94666,35.696822,39.839824,4.034776,0.868644,9.305527,-1.268912,61.914042,11.106654,13.720563,27.88494,16.529522,82.171669,12.267444,0.0,4.0
161.666298,24.928401,63.625724,156.85285,27.184206,89.239962,115.819738,134.719834,125.569479,112.902271,-12.456833,4.352492,14.988757,66.756626,21.648607,24.035977,-5.367282,27.59346,-10.952268,14.658465,-6.64907,5.549424,14.85864,8.579907,2.082135,6.144667,31.930492,12.94464,60.834489,31.230791,32.807084,-2.868274,20.574398,13.140293,7.52609,-7.185817,-3.026771,33.500274,22.590895,-30.166046,17.424684,38.574859,42.073334,9.504683,-12.492187,59.580899,-0.129352,36.43097,11.495525,14.869045,10.385738,24.94666,35.696822,39.839824,4.034776,0.868644,9.305527,-1.268912,61.914042,11.106654,13.720563,27.88494,16.529522,82.171669,12.267444,1.0,4.0
230.997918,205.631334,84.960567,193.033678,49.848921,190.205874,166.505992,215.482616,131.093547,316.146893,38.324423,18.807629,20.874474,74.105066,29.970561,28.938968,38.238577,28.500298,78.035465,45.434202,6.130329,9.035305,13.122925,10.357009,6.989305,12.965814,41.487467,21.297042,67.547633,32.372543,36.618686,10.70767,22.26245,29.843915,13.444501,-1.92949,2.312156,34.473578,28.388717,-21.362221,14.279176,48.934686,44.922822,14.537707,0.010723,136.562698,8.266832,46.149681,27.707587,17.708462,17.043281,35.574521,103.205226,51.326587,8.02275,8.102045,20.470472,5.281601,92.189055,106.824096,15.200364,38.530085,24.862613,72.329235,21.4492,0.0,5.0
230.997918,205.631334,84.960567,193.033678,49.848921,190.205874,166.505992,215.482616,131.093547,316.146893,11.342959,18.807629,20.874474,74.105066,29.970561,28.938968,38.238577,28.500298,78.035465,45.434202,6.130329,9.035305,13.122925,10.357009,6.989305,12.965814,41.487467,21.297042,67.547633,32.372543,36.618686,10.70767,22.26245,29.843915,13.444501,-1.92949,2.312156,34.473578,28.388717,-21.362221,14.279176,48.934686,44.922822,14.537707,0.010723,136.562698,8.266832,46.149681,27.707587,17.708462,17.043281,35.574521,103.205226,51.326587,8.02275,8.102045,20.470472,5.281601,92.189055,106.824096,15.200364,38.530085,24.862613,72.329235,21.4492,1.0,5.0
