cm_1_power,cm_2_power,cm_3_power,cm_4_power,cm_5_power,cm_6_power,cm_7_power,cm_8_power,cm_9_power,cm_10_power,load_1_power,load_2_power,load_3_power,load_4_power,load_5_power,load_6_power,load_7_power,load_8_power,load_9_power,load_10_power,load_11_power,load_12_power,load_13_power,load_14_power,load_15_power,load_16_power,load_17_power,load_18_power,load_19_power,load_20_power,load_21_power,load_22_power,load_23_power,load_24_power,load_25_power,load_26_power,load_27_power,load_28_power,load_29_power,load_30_power,load_31_power,load_32_power,load_33_power,load_34_power,load_35_power,load_36_power,load_37_power,load_38_power,load_39_power,load_40_power,load_41_power,load_42_power,load_43_power,load_44_power,load_45_power,load_46_power,load_47_power,load_48_power,load_49_power,load_50_power,load_51_power,load_52_power,load_53_power,load_54_power,load_55_power,label,id
207.133374,210.294858,148.325279,123.498919,109.297745,171.782356,290.291633,326.025074,161.511325,216.286708,1.321582,19.523537,25.906441,27.69882,78.97133,33.158428,21.994374,19.433224,48.400659,85.121795,15.689629,19.431564,26.129199,9.240162,-1.806634,81.633635,33.006255,7.266199,51.92458,2.397994,19.34156,28.852973,11.700277,164.002173,16.368765,66.836901,5.602781,14.890748,18.999212,13.744052,31.715747,21.832718,39.838773,28.107125,13.833446,36.019603,81.880545,25.577161,103.391972,1.289785,28.767079,65.629087,29.391211,15.27637,55.470495,52.447897,6.156109,12.743126,65.496876,17.456132,28.692201,72.463619,37.490357,46.520951,52.918667,0.0,6.0
207.133374,210.294858,148.325279,123.498919,109.297745,171.782356,290.291633,326.025074,161.511325,216.286708,0.669728,19.523537,25.906441,27.69882,78.97133,33.158428,21.994374,19.433224,48.400659,85.121795,15.689629,19.431564,26.129199,9.240162,-1.806634,81.633635,33.006255,7.266199,51.92458,2.397994,19.34156,28.852973,11.700277,164.002173,16.368765,66.836901,5.602781,14.890748,18.999212,13.744052,31.715747,21.832718,39.838773,28.107125,13.833446,36.019603,81.880545,25.577161,103.391972,1.289785,28.767079,65.629087,29.391211,15.27637,55.470495,52.447897,6.156109,12.743126,65.496876,17.456132,28.692201,72.463619,37.490357,46.520951,52.918667,1.0,6.0
180.328063,194.229196,102.96848,93.149613,95.026261,98.236863,183.375086,224.270509,98.857548,184.54116,1.152956,11.970623,23.53876,25.004073,72.234761,34.337513,24.471207,13.580778,18.144928,124.486584,2.961709,10.29322,6.921627,17.804335,-17.404316,62.542053,33.019847,0.215163,46.763439,-20.963305,22.044005,34.423404,9.616391,73.988157,9.12978,85.077652,-16.987386,6.543666,32.082762,1.846803,27.124281,18.761735,39.640306,24.676908,-3.32739,30.908561,30.947121,-1.626902,74.292841,6.005346,15.276109,49.3977,37.056716,15.001451,47.853684,30.228551,-2.706852,6.57789,64.995281,3.093373,-11.299083,66.683114,33.638607,40.60218,46.467397,0.0,7.0
180.328063,194.229196,102.96848,93.149613,95.026261,98.236863,183.375086,224.270509,98.857548,184.54116,0.584274,11.970623,23.53876,25.004073,72.234761,34.337513,24.471207,13.580778,18.144928,124.486584,2.961709,10.29322,6.921627,17.804335,-17.404316,62.542053,33.019847,0.215163,46.763439,-20.963305,22.044005,34.423404,9.616391,73.988157,9.12978,85.077652,-16.987386,6.543666,32.082762,1.846803,27.124281,18.761735,39.640306,24.676908,-3.32739,30.908561,30.947121,-1.626902,74.292841,6.005346,15.276109,49.3977,37.056716,15.001451,47.853684,30.228551,-2.706852,6.57789,64.995281,3.093373,-11.299083,66.683114,33.638607,40.60218,46.467397,1.0,7.0
162.685334,115.211852,91.656827,202.94152,175.643949,120.773732,93.398937,75.93064,142.024002,133.764718,56.168783,15.423094,25.11191,27.343878,25.164681,2.208387,-7.200088,2.679436,-16.69618,56.410364,62.003957,17.79507,2.854589,49.907693,4.78383,15.280684,18.797337,35.635818,29.367384,39.492046,44.240329,29.831517,22.902344,11.502178,51.860057,12.908627,13.695588,19.049593,43.965064,45.550895,23.213545,33.38333,29.203362,10.67453,31.760403,37.355249,22.346513,-4.013206,23.054333,31.825546,6.852816,19.825359,33.934592,2.350732,32.587326,14.378316,5.691753,19.165656,3.368195,32.036418,5.580121,31.059483,14.203751,64.848764,16.681883,0.0,8.0
162.685334,115.211852,91.656827,202.94152,175.643949,120.773732,93.398937,75.93064,142.024002,133.764718,56.168783,7.652301,25.11191,27.343878,25.164681,2.208387,-7.200088,2.679436,-16.69618,56.410364,62.003957,17.79507,2.854589,49.907693,4.78383,15.280684,18.797337,35.635818,29.367384,39.492046,44.240329,29.831517,22.902344,11.502178,51.860057,12.908627,13.695588,19.049593,43.965064,45.550895,23.213545,33.38333,29.203362,10.67453,31.760403,37.355249,22.346513,-4.013206,23.054333,31.825546,6.852816,19.825359,33.934592,2.350732,32.587326,14.378316,5.691753,19.165656,3.368195,32.036418,5.580121,31.059483,14.203751,64.848764,16.681883,1.0,8.0
139.741066,48.783963,79.422096,212.60784,164.447626,97.701042,102.053685,76.688147,145.575638,133.853008,51.697634,19.737168,13.28761,23.64936,13.48804,6.171755,-21.797124,0.750617,-25.957819,26.15497,54.570697,14.914619,1.101096,37.456874,8.038457,11.111246,21.688035,33.974517,23.531731,39.217277,73.014561,21.456264,19.839516,5.610065,45.861125,18.237531,14.332221,2.565142,41.305158,44.646556,25.137085,60.744705,28.664157,7.098905,-1.295151,47.168117,23.012149,-7.146588,19.045854,31.809077,41.212104,29.778783,38.047405,-0.168912,19.884485,6.164498,-11.089549,17.470656,11.173685,31.104153,6.786703,29.564842,19.049549,45.428746,26.940903,0.0,9.0
139.741066,48.783963,79.422096,212.60784,164.447626,97.701042,102.053685,76.688147,145.575638,133.853008,51.697634,9.792766,13.28761,23.64936,13.48804,6.171755,-21.797124,0.750617,-25.957819,26.15497,54.570697,14.914619,1.101096,37.456874,8.038457,11.111246,21.688035,33.974517,23.531731,39.217277,73.014561,21.456264,19.839516,5.610065,45.861125,18.237531,14.332221,2.565142,41.305158,44.646556,25.137085,60.744705,28.664157,7.098905,-1.295151,47.168117,23.012149,-7.146588,19.045854,31.809077,41.212104,29.778783,38.047405,-0.168912,19.884485,6.164498,-11.089549,17.470656,11.173685,31.104153,6.786703,29.564842,19.049549,45.428746,26.940903,1.0,9.0
144.738383,55.617719,81.602113,223.067005,162.753491,106.785496,65.520373,90.534584,115.587599,118.929227,54.340469,17.044199,5.571567,25.77773,23.177083,6.715728,-19.179607,4.428347,-30.223258,26.668158,54.37506,19.379371,1.611838,41.501563,1.320322,13.980447,23.159152,41.78966,24.426886,34.427521,73.411318,25.853156,21.604465,-0.052418,40.061913,0.268414,14.44408,-4.46096,51.918113,43.093691,20.015893,55.50747,41.533228,7.276301,4.66408,39.145175,21.306861,-7.563694,23.199419,37.186758,2.442881,25.64868,28.53914,-0.766612,20.473951,17.099413,-4.753151,18.248405,13.721191,29.905224,5.30576,28.041713,22.226194,49.889335,14.757244,0.0,10.0
144.738383,55.617719,81.602113,223.067005,162.753491,106.785496,65.520373,90.534584,115.587599,118.929227,54.340469,8.456626,5.571567,25.77773,23.177083,6.715728,-19.179607,4.428347,-30.223258,26.668158,54.37506,19.379371,1.611838,41.501563,1.320322,13.980447,23.159152,41.78966,24.426886,34.427521,73.411318,25.853156,21.604465,-0.052418,40.061913,0.268414,14.44408,-4.46096,51.918113,43.093691,20.015893,55.50747,41.533228,7.276301,4.66408,39.145175,21.306861,-7.563694,23.199419,37.186758,2.442881,25.64868,28.53914,-0.766612,20.473951,17.099413,-4.753151,18.248405,13.721191,29.905224,5.30576,28.041713,22.226194,49.889335,14.757244,1.0,10.0
