gamma_1,gamma_2,gamma_3,gamma_4,label,id
0.03309885094844711,0.006147380733637409,0.003967131638155319,0.0025866012565303187,0.0,1.0
0.03657756792202216,0.006147380733637409,0.003967131638155319,0.0025866012565303187,1.0,1.0
0.034217142652461785,0.0062627101392944695,0.004309257988275306,0.003628161078956804,0.0,2.0
0.03589371611605863,0.0062627101392944695,0.004309257988275306,0.003628161078956804,1.0,2.0
0.032737532093511046,0.005886637621465685,0.004085285651417525,0.003732528185720785,0.0,3.0
0.03516306950343262,0.005886637621465685,0.004085285651417525,0.003732528185720785,1.0,3.0
0.03711437414818253,0.007690155007577637,0.005150476511411206,0.005287094733590347,0.0,4.0
0.042577463819881256,0.007690155007577637,0.005150476511411206,0.005287094733590347,1.0,4.0
0.05725167536078679,0.009708422506323977,0.006700131223671413,0.005619084685417608,0.0,5.0
0.06123451012964898,0.009708422506323977,0.006700131223671413,0.005619084685417608,1.0,5.0
0.04402177405017804,0.007302377562276696,0.004780353976425289,0.0035534431970787317,0.0,6.0
0.04546951047414005,0.007302377562276696,0.004780353976425289,0.0035534431970787317,1.0,6.0
0.0306318916001862,0.005105815569231176,0.003890080055002798,0.0029172255668452607,0.0,7.0
0.032083370135990386,0.005105815569231176,0.003890080055002798,0.0029172255668452607,1.0,7.0
0.036832760000172104,0.004465379632655697,0.004439726578008063,0.0019997657796393398,0.0,8.0
0.06357139577740378,0.004465379632655697,0.004439726578008063,0.0019997657796393398,1.0,8.0
0.053416215703728565,0.005094586196549233,0.005956326961313874,0.002804323306027534,0.0,9.0
0.10357159445692199,0.005094586196549233,0.005956326961313874,0.002804323306027534,1.0,9.0
0.05252994904641506,0.004800088567181504,0.005558924918567243,0.002427974759523721,0.0,10.0
0.09321098713344034,0.004800088567181504,0.005558924918567243,0.002427974759523721,1.0,10.0
0.05757896235888449,0.006314444024002608,0.005854070912354459,0.0031411633640048287,0.0,11.0
0.09750127229207362,0.006314444024002608,0.005854070912354459,0.0031411633640048287,1.0,11.0
0.0871430626405525,0.009503559805685846,0.006897982837819505,0.004373376824211128,0.0,12.0
0.12572708454882076,0.009503559805685846,0.006897982837819505,0.004373376824211128,1.0,12.0
0.05543144884167184,0.007104802220702755,0.00459959954378153,0.0027920035569750645,0.0,13.0
0.08287992339655181,0.007104802220702755,0.00459959954378153,0.0027920035569750645,1.0,13.0
0.05631116104292033,0.005004628938380495,0.004849893030094865,0.0021537508022499985,0.0,14.0
0.11183134233676295,0.005004628938380495,0.004849893030094865,0.0021537508022499985,1.0,14.0
0.04416222617468257,0.005754777021915292,0.0051604544409116215,0.0032951898876563135,0.0,15.0
0.05532297785602758,0.005754777021915292,0.0051604544409116215,0.0032951898876563135,1.0,15.0
0.04338665703366562,0.005055069412487345,0.004836205373346392,0.002627707152099923,0.0,16.0
0.05651021401290546,0.005055069412487345,0.004836205373346392,0.002627707152099923,1.0,16.0
