gamma_1,gamma_2,gamma_3,gamma_4,label,id
0.0426743266796028,0.006009599959289957,0.004682857858868239,0.002934770044441759,0.0,1.0
0.07041597012568257,0.006009599959289957,0.004682857858868239,0.002934770044441759,1.0,1.0
0.04846145369678778,0.006066494033925451,0.005934277127579435,0.003651819349549612,0.0,2.0
0.06908269654271004,0.006066494033925451,0.005934277127579435,0.003651819349549612,1.0,2.0
0.05292020652424467,0.006785648557801949,0.006473260704644712,0.003793430295158551,0.0,3.0
0.08339135737959102,0.006785648557801949,0.006473260704644712,0.003793430295158551,1.0,3.0
0.05783513823417108,0.006150340415862043,0.00534659037819063,0.0031800777862258656,0.0,4.0
0.08620214872215604,0.006150340415862043,0.00534659037819063,0.0031800777862258656,1.0,4.0
0.06511177686546343,0.008118819626995677,0.006150038608094821,0.00356530593300608,0.0,5.0
0.08175186363230802,0.008118819626995677,0.006150038608094821,0.00356530593300608,1.0,5.0
0.04897889280622536,0.007425570187150843,0.004581610759883059,0.0023767214537770975,0.0,6.0
0.0693630220018484,0.007425570187150843,0.004581610759883059,0.0023767214537770975,1.0,6.0
0.040653827337334913,0.00566562422398631,0.00510179151517276,0.0026844397657055374,0.0,7.0
0.06527158959448087,0.00566562422398631,0.00510179151517276,0.0026844397657055374,1.0,7.0
0.02993193313179665,0.00637832689964668,0.010093579734785862,0.003912572974713147,0.0,8.0
0.06062946195482377,0.00637832689964668,0.010093579734785862,0.003912572974713147,1.0,8.0
0.03225705648968491,0.007110303407983132,0.012954711639748595,0.0044441687846292766,0.0,9.0
0.06432953626188409,0.007110303407983132,0.012954711639748595,0.0044441687846292766,1.0,9.0
0.04005738638538725,0.009263493268419687,0.018268458490222184,0.004523887527118742,0.0,10.0
0.07616486241040965,0.009263493268419687,0.018268458490222184,0.004523887527118742,1.0,10.0
0.035270567515004014,0.009782362400914568,0.010055944873911482,0.003914721572124247,0.0,11.0
0.06277778137901002,0.009782362400914568,0.010055944873911482,0.003914721572124247,1.0,11.0
0.035614391918437516,0.008573676938199437,0.010074355387778233,0.004565395115664561,0.0,12.0
0.05208524120758007,0.008573676938199437,0.010074355387778233,0.004565395115664561,1.0,12.0
0.02893877990040883,0.005485571662188882,0.006906420544914749,0.0029470331175209807,0.0,13.0
0.050947657399641244,0.005485571662188882,0.006906420544914749,0.0029470331175209807,1.0,13.0
0.04198749686451109,0.0082299913286068,0.014593150982870284,0.003740115970721547,0.0,14.0
0.0821214186642445,0.0082299913286068,0.014593150982870284,0.003740115970721547,1.0,14.0
0.03295010370809903,0.004383798118098525,0.0038055799450686933,0.007860609191906232,0.0,15.0
0.08471411401219076,0.004383798118098525,0.0038055799450686933,0.007860609191906232,1.0,15.0
0.042308947824697185,0.006560349834621615,0.008245992397011737,0.04305161057535756,0.0,16.0
0.08574184760576031,0.006560349834621615,0.008245992397011737,0.04305161057535756,1.0,16.0
0.04078586954884589,0.00671475925488263,0.00762640180871843,0.016482967155790007,0.0,17.0
0.0899424259922128,0.00671475925488263,0.00762640180871843,0.016482967155790007,1.0,17.0
0.04983928284550121,0.007575852499127844,0.006694067543723481,0.010081382103752645,0.0,18.0
0.09250505098777229,0.007575852499127844,0.006694067543723481,0.010081382103752645,1.0,18.0
0.06171703073015866,0.0054372615616467,0.006618225969061253,0.005089060242667198,0.0,19.0
0.09645801964757661,0.0054372615616467,0.006618225969061253,0.005089060242667198,1.0,19.0
0.05381763880051471,0.004878136967906066,0.00591873690921263,0.003349403099377035,0.0,20.0
0.10314138343658152,0.004878136967906066,0.00591873690921263,0.003349403099377035,1.0,20.0
0.039007418969533525,0.005945366756423098,0.008918647535580693,0.009167183438195448,0.0,21.0
0.09268600275778116,0.005945366756423098,0.008918647535580693,0.009167183438195448,1.0,21.0
0.036138510764933685,0.007585731291478215,0.0062909096917858065,0.0176713528972261,0.0,22.0
0.06057738517007483,0.007585731291478215,0.0062909096917858065,0.0176713528972261,1.0,22.0
0.03911410619459543,0.011886420314302537,0.009142463330423567,-0.16227586568912145,0.0,23.0
0.07027707691835161,0.011886420314302537,0.009142463330423567,-0.16227586568912145,1.0,23.0
0.04156915112766324,0.017776072028703016,0.0076626623225299895,-0.133924320484627,0.0,24.0
0.06696719449200206,0.017776072028703016,0.0076626623225299895,-0.133924320484627,1.0,24.0
0.03398471656602453,0.012549663094549413,0.008565431631392784,0.054299051209044435,0.0,25.0
0.054384759447770215,0.012549663094549413,0.008565431631392784,0.054299051209044435,1.0,25.0
0.04481033516556021,0.012622469616208942,0.004574592669454702,0.005531281952806388,0.0,26.0
