poisson_1,poisson_2,poisson_3,poisson_4,poisson_5,label,id
-10.05513572939509,-3.4643866179521865,-0.5913254879220631,-1.4164894676136441,-0.7785375973905388,0.0,1.0
-27.783169503606416,-3.4643866179521865,-0.5913254879220631,-1.4164894676136441,-0.7785375973905388,1.0,1.0
-10.73296891711567,-4.202791724677809,-0.7353734081990524,-1.3500178379751162,-0.5960698257926538,0.0,2.0
-19.703480090780857,-4.202791724677809,-0.7353734081990524,-1.3500178379751162,-0.5960698257926538,1.0,2.0
-12.040204033321544,-4.156317887847365,-0.6592640690379881,-1.7364248282535755,-0.889155548059307,0.0,3.0
-18.660419872529957,-4.156317887847365,-0.6592640690379881,-1.7364248282535755,-0.889155548059307,1.0,3.0
-16.308883342495022,-6.507597826151368,-1.1556905422693262,-2.3943691039928012,-0.9784687745677161,0.0,4.0
-34.79022080156619,-6.507597826151368,-1.1556905422693262,-2.3943691039928012,-0.9784687745677161,1.0,4.0
-25.028301456201348,-9.676035038384953,-1.7730360762210466,-2.596501631664296,-0.991726276003078,0.0,5.0
-43.6699614555439,-9.676035038384953,-1.7730360762210466,-2.596501631664296,-0.991726276003078,1.0,5.0
-16.37142857443729,-6.7281315232459065,-1.3850571928338695,-2.1079681532559107,-0.7851693947103513,0.0,6.0
-32.52307109964795,-6.7281315232459065,-1.3850571928338695,-2.1079681532559107,-0.7851693947103513,1.0,6.0
-9.144108302568583,-4.0731540947971325,-0.84695117917272,-1.2379123580073497,-0.5788932026109705,0.0,7.0
-21.364783881582923,-4.0731540947971325,-0.84695117917272,-1.2379123580073497,-0.5788932026109705,1.0,7.0
-8.693489609224969,-2.488659496544699,-0.34548798081465293,-1.1550176472115936,-0.5701141792679039,0.0,8.0
-17.570003465990453,-2.488659496544699,-0.34548798081465293,-1.1550176472115936,-0.5701141792679039,1.0,8.0
-9.291527334974546,-2.713791684285013,-0.4210351854425767,-1.1482503133760247,-0.5525299069091716,0.0,9.0
-22.418095659099833,-2.713791684285013,-0.4210351854425767,-1.1482503133760247,-0.5525299069091716,1.0,9.0
-9.545543929166683,-3.072020452784159,-0.5319043221625179,-1.1510788497355975,-0.5918707134134706,0.0,10.0
-20.395085585772506,-3.072020452784159,-0.5319043221625179,-1.1510788497355975,-0.5918707134134706,1.0,10.0
-11.166835966407689,-3.470193771670438,-0.7105916004952633,-1.586476798516287,-0.7273528558514784,0.0,11.0
-25.743968498196637,-3.470193771670438,-0.7105916004952633,-1.586476798516287,-0.7273528558514784,1.0,11.0
-18.312300616031848,-5.861343381752363,-1.410090909522978,-2.1932290282187523,-0.9734257122788676,0.0,12.0
-35.92204371094624,-5.861343381752363,-1.410090909522978,-2.1932290282187523,-0.9734257122788676,1.0,12.0
-11.429311004645342,-3.115070204510971,-0.403635852950913,-1.4045400535052295,-0.7859067289543873,0.0,13.0
-24.81112043771111,-3.115070204510971,-0.403635852950913,-1.4045400535052295,-0.7859067289543873,1.0,13.0
-8.621786579788193,-2.4009694457810724,-0.3887978084426891,-0.9236044778390067,-0.5454253429852827,0.0,14.0
-18.799417258776543,-2.4009694457810724,-0.3887978084426891,-0.9236044778390067,-0.5454253429852827,1.0,14.0
-10.89365456894717,-3.8553511424898943,-0.9604382944848453,-1.2989281516408937,-0.455576921045008,0.0,15.0
-22.139210030570837,-3.8553511424898943,-0.9604382944848453,-1.2989281516408937,-0.455576921045008,1.0,15.0
-11.92647044613463,-3.9575960738715708,-0.7868484005754226,-1.514650387840927,-0.4695404084058623,0.0,16.0
-21.838677671583923,-3.9575960738715708,-0.7868484005754226,-1.514650387840927,-0.4695404084058623,1.0,16.0
-11.782787401691706,-3.807432355384492,-0.6857716754742569,-1.7040376512074147,-0.4565875639544288,0.0,17.0
-20.494977934836754,-3.807432355384492,-0.6857716754742569,-1.7040376512074147,-0.4565875639544288,1.0,17.0
-12.251006118413756,-4.15836424574394,-0.5940227589223923,-2.1462050764005483,-0.7382037385204967,0.0,18.0
-22.07355517615315,-4.15836424574394,-0.5940227589223923,-2.1462050764005483,-0.7382037385204967,1.0,18.0
-16.027262750395607,-5.866365439850597,-0.7998167088301216,-2.514259345507071,-1.0540975947645848,0.0,19.0
-29.01825166961123,-5.866365439850597,-0.7998167088301216,-2.514259345507071,-1.0540975947645848,1.0,19.0
-12.938155057973063,-4.724126834628805,-0.6714194621235947,-1.7867411330785217,-1.1018420011241687,0.0,20.0
-25.809447913609176,-4.724126834628805,-0.6714194621235947,-1.7867411330785217,-1.1018420011241687,1.0,20.0
-9.41999703229979,-2.694180708983879,-0.2974271985027883,-1.248586696952799,-0.6268630033427485,0.0,21.0
-19.049788087259458,-2.694180708983879,-0.2974271985027883,-1.248586696952799,-0.6268630033427485,1.0,21.0
-10.490598277510202,-4.137052033181135,-1.3354021733668446,-1.5514444212577985,-0.7842860333487351,0.0,22.0
-19.980010265088993,-4.137052033181135,-1.3354021733668446,-1.5514444212577985,-0.7842860333487351,1.0,22.0
-10.40675539166753,-3.7837383713398935,-0.6405575526576968,-1.9800202782041083,-0.5705479302483809,0.0,23.0
-21.590681328013346,-3.7837383713398935,-0.6405575526576968,-1.9800202782041083,-0.5705479302483809,1.0,23.0
-9.874473339253143,-3.5450442664790103,-0.6618288263469161,-1.855223838445454,-0.785717251130734,0.0,24.0
-19.449515474206606,-3.5450442664790103,-0.6618288263469161,-1.855223838445454,-0.785717251130734,1.0,24.0
-13.247872037632021,-4.741345059346656,-0.952008909341032,-2.4047629854376,-1.4807539322046068,0.0,25.0
-24.63812337590855,-4.741345059346656,-0.952008909341032,-2.4047629854376,-1.4807539322046068,1.0,25.0
-15.64221714362452,-5.650949181019314,-1.0374150301843201,-2.9345590300580966,-1.563897812812911,0.0,26.0
-22.150786386850996,-5.650949181019314,-1.0374150301843201,-2.9345590300580966,-1.563897812812911,1.0,26.0
-11.355208840367084,-3.9222291773714915,-0.853571359982368,-1.6066089593012975,-0.935199639471648,0.0,27.0
-18.38641128101807,-3.9222291773714915,-0.853571359982368,-1.6066089593012975,-0.935199639471648,1.0,27.0
-8.270779555632885,-2.914058145462775,-0.5356737131760099,-1.495050318749044,-0.6315394370015497,0.0,28.0
-18.092934993848218,-2.914058145462775,-0.5356737131760099,-1.495050318749044,-0.6315394370015497,1.0,28.0
-8.017286384269426,-2.920277583406971,-0.47799418813099237,-1.0785954737582983,-0.6710720868359772,0.0,29.0
-20.171796956500145,-2.920277583406971,-0.47799418813099237,-1.0785954737582983,-0.6710720868359772,1.0,29.0
-11.583227209648726,-3.9507937015135894,-0.3921276023020823,-1.877757096750294,-0.7751969939379819,0.0,30.0
-22.40895452285281,-3.9507937015135894,-0.3921276023020823,-1.877757096750294,-0.7751969939379819,1.0,30.0
-10.48198872800603,-3.6908634247103578,-0.412694357278383,-1.7292481326947673,-0.8145701266427068,0.0,31.0
-19.638668208961036,-3.6908634247103578,-0.412694357278383,-1.7292481326947673,-0.8145701266427068,1.0,31.0
-12.993259095114297,-4.145926909478703,-0.4259800149993396,0.5783817907762012,-1.4002169096989974,0.0,32.0
-24.724407131135422,-4.145926909478703,-0.4259800149993396,0.5783817907762012,-1.4002169096989974,1.0,32.0
-25.082655054260385,-7.895418728759921,-1.213889232139877,-3.9552290942732498,-1.8449158661961746,0.0,33.0
-47.79838980750776,-7.895418728759921,-1.213889232139877,-3.9552290942732498,-1.8449158661961746,1.0,33.0
-14.905342915929737,-5.354842411609468,-1.5065579977720063,-1.8928135405629973,-1.1248668494591811,0.0,34.0
-24.276378890164892,-5.354842411609468,-1.5065579977720063,-1.8928135405629973,-1.1248668494591811,1.0,34.0
-10.497777499014774,-3.5365399734571383,-0.34271090082347655,-1.9207796652262594,-1.011174217310213,0.0,35.0
-20.66156091235115,-3.5365399734571383,-0.34271090082347655,-1.9207796652262594,-1.011174217310213,1.0,35.0
-9.869336673584357,-3.9287302522563436,-0.683332233508736,-1.8647946822079575,-0.9935837865112376,0.0,36.0
-17.987592951794014,-3.9287302522563436,-0.683332233508736,-1.8647946822079575,-0.9935837865112376,1.0,36.0
-13.689388932566786,-3.769708376264475,-0.6889273664865527,-1.493440648323599,-0.7348897317932881,0.0,37.0
-32.446176050702775,-3.769708376264475,-0.6889273664865527,-1.493440648323599,-0.7348897317932881,1.0,37.0
-13.653777001705123,-4.230910150578438,-0.7981286366310769,-1.8165969040841219,-1.0554172495696719,0.0,38.0
-31.78313970177362,-4.230910150578438,-0.7981286366310769,-1.8165969040841219,-1.0554172495696719,1.0,38.0
-20.79637457506042,-6.049269545428501,-1.3019266508936198,-2.063765369251996,-1.192153032565102,0.0,39.0
-43.43430203136506,-6.049269545428501,-1.3019266508936198,-2.063765369251996,-1.192153032565102,1.0,39.0
-22.747597002676628,-8.548769286558809,-1.5171893084279873,-3.5421303942822533,-2.1981016847203136,0.0,40.0
-31.822774140487525,-8.548769286558809,-1.5171893084279873,-3.5421303942822533,-2.1981016847203136,1.0,40.0
-17.412026816418347,-6.5651815723866775,-1.6979707162067825,-2.6906659540367173,-1.301477480782978,0.0,41.0
-31.575218772114738,-6.5651815723866775,-1.6979707162067825,-2.6906659540367173,-1.301477480782978,1.0,41.0
-12.01820557121112,-3.1584819269668003,-0.8381435790137175,-1.2370303953674693,-0.47902011855080673,0.0,42.0
-28.779905980674442,-3.1584819269668003,-0.8381435790137175,-1.2370303953674693,-0.47902011855080673,1.0,42.0
-11.084584999739093,-3.504977445953884,-0.5786103960949731,-1.6030121028239819,-0.6125029218340501,0.0,43.0
-39.98234873544044,-3.504977445953884,-0.5786103960949731,-1.6030121028239819,-0.6125029218340501,1.0,43.0
-11.150098213896229,-4.050967768908379,-0.5993267421363555,-1.4133204890349589,-0.5638778730310037,0.0,44.0
-35.2042104527583,-4.050967768908379,-0.5993267421363555,-1.4133204890349589,-0.5638778730310037,1.0,44.0
-11.43595840405402,-3.408758799942717,-0.5824950578206369,-1.3506186358209789,-0.5381984501181591,0.0,45.0
-42.22114288225481,-3.408758799942717,-0.5824950578206369,-1.3506186358209789,-0.5381984501181591,1.0,45.0
-15.11548288529275,-4.685604912053421,-0.8637764210654382,-2.2911685188915953,-0.6691522330227713,0.0,46.0
-53.10947819773355,-4.685604912053421,-0.8637764210654382,-2.2911685188915953,-0.6691522330227713,1.0,46.0
-24.263928712423763,-8.843296911700065,-2.143458221517676,-4.1108918988402365,-1.3728055544351037,0.0,47.0
-66.57126709592433,-8.843296911700065,-2.143458221517676,-4.1108918988402365,-1.3728055544351037,1.0,47.0
-16.281188797816412,-5.2230306039309085,-0.7347520454373466,-2.803073631804409,-0.6112343067986217,0.0,48.0
-48.43358508126971,-5.2230306039309085,-0.7347520454373466,-2.803073631804409,-0.6112343067986217,1.0,48.0
-10.985656906504062,-4.803440141485206,-0.3987637713428285,-1.6444260986457948,-0.6665844629729349,0.0,49.0
-36.912045168708175,-4.803440141485206,-0.3987637713428285,-1.6444260986457948,-0.6665844629729349,1.0,49.0
-10.919031898741764,-3.5463410496240186,-0.4963272035292903,-1.4685052171777784,-0.6363427436636471,0.0,50.0
-23.75206938346861,-3.5463410496240186,-0.4963272035292903,-1.4685052171777784,-0.6363427436636471,1.0,50.0
-13.231762883440496,-5.108364385535879,-0.7878713831349273,-1.7870207328753054,-0.7674000938785639,0.0,51.0
-29.436133187880472,-5.108364385535879,-0.7878713831349273,-1.7870207328753054,-0.7674000938785639,1.0,51.0
-12.505162891488254,-4.887731090417574,-0.6562777311781929,-1.9643568492536474,-0.7350218665895909,0.0,52.0
-28.58127611840996,-4.887731090417574,-0.6562777311781929,-1.9643568492536474,-0.7350218665895909,1.0,52.0
-16.56977888877458,-5.691348847858578,-1.0151949300360457,-2.7265275878917805,-1.0238511489856137,0.0,53.0
-31.12640019159602,-5.691348847858578,-1.0151949300360457,-2.7265275878917805,-1.0238511489856137,1.0,53.0
-23.51962227066724,-7.669028072332992,-1.4734191620660795,-3.3469648013798405,-1.269590075778865,0.0,54.0
-40.25822674844301,-7.669028072332992,-1.4734191620660795,-3.3469648013798405,-1.269590075778865,1.0,54.0
-17.56618021288716,-4.893676751464,-0.6992460622015528,-2.793038366917699,-1.2773379415137924,0.0,55.0
-29.432320683133753,-4.893676751464,-0.6992460622015528,-2.793038366917699,-1.2773379415137924,1.0,55.0
-10.60138234199431,-3.694537927533645,-0.543882102998225,-1.7229690870038326,-0.7614097590871438,0.0,56.0
-23.36860049628345,-3.694537927533645,-0.543882102998225,-1.7229690870038326,-0.7614097590871438,1.0,56.0
-8.550105381317223,-2.631694187381129,-0.6571489823029992,-0.7864424520867033,-0.34034034390816714,0.0,57.0
-42.80392073199562,-2.631694187381129,-0.6571489823029992,-0.7864424520867033,-0.34034034390816714,1.0,57.0
-9.065538869630416,-2.8155710536593688,-0.5259505414217642,-1.009393179118689,-0.37269657204117834,0.0,58.0
-35.49679439314269,-2.8155710536593688,-0.5259505414217642,-1.009393179118689,-0.37269657204117834,1.0,58.0
-9.620478667408747,-3.0684268572517794,-0.4310858348613351,-1.288928409828486,-0.4374613924465791,0.0,59.0
-34.07790994918895,-3.0684268572517794,-0.4310858348613351,-1.288928409828486,-0.4374613924465791,1.0,59.0
-14.066349549911251,-3.761536220204448,-0.4990255162806534,-1.9049352641651467,-0.6056192438108496,0.0,60.0
-75.0091639051538,-3.761536220204448,-0.4990255162806534,-1.9049352641651467,-0.6056192438108496,1.0,60.0
-18.280209998177497,-5.006163818799905,-0.5113500183758788,-2.9065546729150356,-0.965112885549047,0.0,61.0
-78.43767973391198,-5.006163818799905,-0.5113500183758788,-2.9065546729150356,-0.965112885549047,1.0,61.0
-13.500587389709267,-4.5957084985194,-0.5973989619724875,-2.6574100321519154,-0.786465814879648,0.0,62.0
-46.6235290327005,-4.5957084985194,-0.5973989619724875,-2.6574100321519154,-0.786465814879648,1.0,62.0
-7.979009712222819,-2.589058646498188,-0.41492566245318585,-1.2501901586125541,-0.28338999219295147,0.0,63.0
-36.334327634540784,-2.589058646498188,-0.41492566245318585,-1.2501901586125541,-0.28338999219295147,1.0,63.0
-11.744800635223044,-4.754730657794653,-1.0669208656863702,-1.3314109591582337,-0.9684685621346034,0.0,64.0
