power_error_1,label,id
0.011482730057028098,0.0,1.0
0.012381409249697953,1.0,1.0
0.011642740569540767,0.0,2.0
0.012057277546718757,1.0,2.0
0.011495928735241741,0.0,3.0
0.012120390692269346,1.0,3.0
0.013819190831647931,0.0,4.0
0.015268873990934607,1.0,4.0
0.018536389837096285,0.0,5.0
0.019443016504033312,1.0,5.0
0.013875660302146934,0.0,6.0
0.014207485956087612,1.0,6.0
0.010909177907933715,0.0,7.0
0.011300029269074965,1.0,7.0
0.011129013945791907,0.0,8.0
0.017042717643810466,1.0,8.0
0.013017893263584622,0.0,9.0
0.021298862858073492,1.0,9.0
0.013432872329349381,0.0,10.0
0.0208033192760616,1.0,10.0
0.015756156314839752,0.0,11.0
0.023345682461031945,1.0,11.0
0.02109702822385754,0.0,12.0
0.0272368620731724,1.0,12.0
0.015181097955530506,0.0,13.0
0.020447902875604346,1.0,13.0
0.012742734585393321,0.0,14.0
0.021262622640349824,1.0,14.0
0.01257019136180547,0.0,15.0
0.014800301851247546,1.0,15.0
0.012130370745548883,0.0,16.0
0.01477143486883894,1.0,16.0
0.01337187567531424,0.0,17.0
0.019563814794408132,1.0,17.0
0.015449649533465162,0.0,18.0
0.02157995756695923,1.0,18.0
0.017391274099278764,0.0,19.0
0.02317140456743027,1.0,19.0
0.01399147900279563,0.0,20.0
0.01703918603177598,1.0,20.0
0.0109200569106405,0.0,21.0
0.013582477357055171,1.0,21.0
0.010686261920454989,0.0,22.0
0.01797809949669912,1.0,22.0
0.012781200181793888,0.0,23.0
0.020835281520806742,1.0,23.0
0.013829346716567752,0.0,24.0
0.025459487256875406,1.0,24.0
0.014619724811338419,0.0,25.0
0.026038908707211508,1.0,25.0
0.015863413611555206,0.0,26.0
0.026930279130850606,1.0,26.0
0.013134660406413968,0.0,27.0
0.02248237605299433,1.0,27.0
0.011186060726400354,0.0,28.0
0.02129727370767698,1.0,28.0
0.011805532375514767,0.0,29.0
0.030001197378077805,1.0,29.0
0.013046356364876204,0.0,30.0
0.030814337554251437,1.0,30.0
0.013225431844681099,0.0,31.0
0.03307196184115937,1.0,31.0
0.014536234133270692,0.0,32.0
0.030275782729548655,1.0,32.0
0.01946165981558745,0.0,33.0
0.030037796015741004,1.0,33.0
0.015334560915018818,0.0,34.0
0.02794533816474304,1.0,34.0
0.012629254238170082,0.0,35.0
0.03458025827812714,1.0,35.0
0.009079346400167724,0.0,36.0
0.02123881429912421,1.0,36.0
0.011278941615844341,0.0,37.0
0.029295624097343865,1.0,37.0
0.01082891070642786,0.0,38.0
0.02701141550854143,1.0,38.0
0.013458462010352244,0.0,39.0
0.028647354234282055,1.0,39.0
0.016549588358562534,0.0,40.0
0.023849158387969246,1.0,40.0
0.01236786084622708,0.0,41.0
0.02175690819181378,1.0,41.0
0.01089779812853685,0.0,42.0
0.025520394966748364,1.0,42.0
0.010742344118708093,0.0,43.0
0.01443793623565394,1.0,43.0
0.010665812414609815,0.0,44.0
0.015331649196897968,1.0,44.0
0.012131985737397846,0.0,45.0
0.018657378971941568,1.0,45.0
0.014265883755451552,0.0,46.0
0.021356490314689024,1.0,46.0
0.017492335526429936,0.0,47.0
0.020737363727800218,1.0,47.0
0.012765559947064345,0.0,48.0
0.01617505244409704,1.0,48.0
0.010985468943103984,0.0,49.0
0.017196086924403317,1.0,49.0
0.011773728153596957,0.0,50.0
0.01678581266683216,1.0,50.0
0.012237615126458946,0.0,51.0
0.015299772955575178,1.0,51.0
0.01212085252668253,0.0,52.0
0.014349506611898339,1.0,52.0
0.015350534949515668,0.0,53.0
0.020200961596614005,1.0,53.0
0.018267333671522258,0.0,54.0
0.02175992060849942,1.0,54.0
0.014162441316450588,0.0,55.0
0.017674191986278155,1.0,55.0
0.011950114947839943,0.0,56.0
0.01601917007255923,1.0,56.0
0.010895714379471061,0.0,57.0
0.016555661311213863,1.0,57.0
0.011916759935435034,0.0,58.0
0.021746110473985947,1.0,58.0
0.011703385289928113,0.0,59.0
0.02141268604287225,1.0,59.0
0.013565158159043732,0.0,60.0
0.022599988598222782,1.0,60.0
0.015744084967699214,0.0,61.0
0.019579359396213195,1.0,61.0
0.01389833531429787,0.0,62.0
0.018586076232984226,1.0,62.0
0.010695542531013714,0.0,63.0
0.01845434261970778,1.0,63.0
0.01182082682059243,0.0,64.0
0.025674519641459004,1.0,64.0
0.012265445345487312,0.0,65.0
0.021626846479906193,1.0,65.0
0.013274836631482042,0.0,66.0
0.02977041920252084,1.0,66.0
0.016272733135748965,0.0,67.0
0.0334135290033567,1.0,67.0
0.01631841435347569,0.0,68.0
0.030768957095294286,1.0,68.0
