cm_1_power,cm_2_power,load_1_power,load_2_power,load_3_power,load_4_power,load_5_power,load_6_power,load_7_power,load_8_power,load_9_power,load_10_power,load_11_power,load_12_power,load_13_power,load_14_power,load_15_power,load_16_power,load_17_power,load_18_power,load_19_power,load_20_power,load_21_power,load_22_power,load_23_power,load_24_power,load_25_power,load_26_power,load_27_power,load_28_power,load_29_power,load_30_power,load_31_power,load_32_power,load_33_power,load_34_power,load_35_power,load_36_power,load_37_power,load_38_power,load_39_power,load_40_power,load_41_power,load_42_power,load_43_power,load_44_power,load_45_power,load_46_power,load_47_power,load_48_power,load_49_power,load_50_power,load_51_power,load_52_power,load_53_power,load_54_power,load_55_power,label,id
710.795281,398.785023,26.210644,9.722347,19.862527,4.844381,-7.248445,18.186766,-6.474176,30.698879,5.842154,4.812779,76.853285,-7.108233,12.220167,6.008016,38.007337,70.418658,41.89229,2.165848,23.076949,34.482232,5.044542,13.36096,9.27431,3.321672,6.987001,60.985454,6.258168,10.025661,22.132796,46.467142,41.919375,22.353754,66.212605,4.708638,31.481725,32.101455,13.841504,24.225056,34.121645,16.752757,8.048456,-12.768877,11.181273,13.275142,8.807344,-8.854173,-1.084797,14.106321,30.964471,17.452458,19.985634,21.316351,59.843072,9.057714,27.592868,0.0,1.0
710.795281,398.785023,9.155588,9.722347,19.862527,4.844381,-7.248445,18.186766,-6.474176,30.698879,5.842154,4.812779,76.853285,-7.108233,12.220167,6.008016,38.007337,70.418658,41.89229,2.165848,23.076949,34.482232,5.044542,13.36096,9.27431,3.321672,6.987001,60.985454,6.258168,10.025661,22.132796,46.467142,41.919375,22.353754,66.212605,4.708638,31.481725,32.101455,13.841504,24.225056,34.121645,16.752757,8.048456,-12.768877,11.181273,13.275142,8.807344,-8.854173,-1.084797,14.106321,30.964471,17.452458,19.985634,21.316351,59.843072,9.057714,27.592868,1.0,1.0
555.944184,246.047923,6.928619,7.541946,18.180768,2.587262,-9.241257,17.948243,-7.52899,33.686368,-11.152731,3.306696,35.126064,-21.834978,9.308656,7.135213,47.852195,40.098138,31.924889,6.006925,38.978429,39.067609,1.591912,14.271043,4.079184,19.407498,13.922702,38.814393,-0.343207,-16.259109,13.376507,45.349565,38.745891,13.463801,46.318196,7.790281,27.664943,28.23922,4.194378,25.684489,30.569423,8.127037,9.100965,-13.871027,2.587207,12.691324,-8.903389,-11.394418,-1.251055,8.130068,10.554516,0.836169,27.70842,16.492429,29.766313,11.84686,30.685827,0.0,2.0
555.944184,246.047923,-2.517496,7.541946,18.180768,2.587262,-9.241257,17.948243,-7.52899,33.686368,-11.152731,3.306696,35.126064,-21.834978,9.308656,7.135213,47.852195,40.098138,31.924889,6.006925,38.978429,39.067609,1.591912,14.271043,4.079184,19.407498,13.922702,38.814393,-0.343207,-16.259109,13.376507,45.349565,38.745891,13.463801,46.318196,7.790281,27.664943,28.23922,4.194378,25.684489,30.569423,8.127037,9.100965,-13.871027,2.587207,12.691324,-8.903389,-11.394418,-1.251055,8.130068,10.554516,0.836169,27.70842,16.492429,29.766313,11.84686,30.685827,1.0,2.0
599.950961,301.319162,2.322451,2.992562,31.056522,16.944969,-11.39624,26.333155,-18.755893,34.843718,-4.809175,3.058152,43.870894,-19.216039,10.063514,5.666771,39.594414,56.616972,23.45657,6.5384,37.806607,33.297339,2.265077,13.220424,6.215851,9.860814,9.051652,45.846958,2.352231,-21.286931,12.977965,43.872467,34.866951,9.542591,51.023231,1.140855,40.589395,45.986917,2.955454,27.563988,29.70618,4.626982,4.03804,-6.696381,1.410662,9.943071,-9.054336,-12.88099,42.437531,22.741702,15.979285,-7.01786,27.412501,22.131408,31.175138,9.475469,39.836558,0.0,3.0
599.950961,301.319162,-4.223813,2.992562,31.056522,16.944969,-11.39624,26.333155,-18.755893,34.843718,-4.809175,3.058152,43.870894,-19.216039,10.063514,5.666771,39.594414,56.616972,23.45657,6.5384,37.806607,33.297339,2.265077,13.220424,6.215851,9.860814,9.051652,45.846958,2.352231,-21.286931,12.977965,43.872467,34.866951,9.542591,51.023231,1.140855,40.589395,45.986917,2.955454,27.563988,29.70618,4.626982,4.03804,-6.696381,1.410662,9.943071,-9.054336,-12.88099,42.437531,22.741702,15.979285,-7.01786,27.412501,22.131408,31.175138,9.475469,39.836558,1.0,3.0
734.453182,477.212031,21.50799,4.538082,23.020038,6.667953,-9.957269,22.185006,-13.568827,42.298009,-12.281533,3.111759,46.472822,-15.486841,11.251212,6.040573,59.724322,46.846794,18.978533,7.203266,74.35084,32.258062,4.033387,18.630338,15.701448,34.934065,43.960495,35.961043,-1.317054,35.548829,14.438982,42.448891,37.446881,9.348318,52.179517,6.167061,41.091384,55.547132,5.488381,29.295288,24.950381,6.310781,9.055302,-4.44464,2.093621,17.533111,-10.049142,-12.131198,51.306714,17.656498,58.757857,-6.810463,41.605667,50.730078,33.353589,11.078423,39.670056,0.0,4.0
734.453182,477.212031,1.585068,4.538082,23.020038,6.667953,-9.957269,22.185006,-13.568827,42.298009,-12.281533,3.111759,46.472822,-15.486841,11.251212,6.040573,59.724322,46.846794,18.978533,7.203266,74.35084,32.258062,4.033387,18.630338,15.701448,34.934065,43.960495,35.961043,-1.317054,35.548829,14.438982,42.448891,37.446881,9.348318,52.179517,6.167061,41.091384,55.547132,5.488381,29.295288,24.950381,6.310781,9.055302,-4.44464,2.093621,17.533111,-10.049142,-12.131198,51.306714,17.656498,58.757857,-6.810463,41.605667,50.730078,33.353589,11.078423,39.670056,1.0,4.0
1289.849154,803.075095,27.312752,12.941497,28.032197,28.85492,0.18738,52.007651,6.574121,44.927465,0.336176,8.503507,10.94255,6.588001,109.047473,16.590223,138.662709,94.937092,56.313789,12.349878,90.151887,52.063677,13.699879,48.736458,11.326719,84.225157,64.607834,103.296327,5.241911,50.222906,20.20262,48.756248,42.539424,51.543383,56.950953,5.113466,52.708528,70.217489,24.288103,35.485614,35.27571,18.532702,14.983716,10.412509,3.63732,11.497158,10.971134,-1.102158,48.838813,22.348003,66.373598,5.979131,55.15574,70.921213,33.987088,24.361596,37.93557,0.0,5.0
1289.849154,803.075095,8.71033,12.941497,28.032197,28.85492,0.18738,52.007651,6.574121,44.927465,0.336176,8.503507,10.94255,6.588001,109.047473,16.590223,138.662709,94.937092,56.313789,12.349878,90.151887,52.063677,13.699879,48.736458,11.326719,84.225157,64.607834,103.296327,5.241911,50.222906,20.20262,48.756248,42.539424,51.543383,56.950953,5.113466,52.708528,70.217489,24.288103,35.485614,35.27571,18.532702,14.983716,10.412509,3.63732,11.497158,10.971134,-1.102158,48.838813,22.348003,66.373598,5.979131,55.15574,70.921213,33.987088,24.361596,37.93557,1.0,5.0
957.005367,711.040061,20.808573,11.332728,21.923247,21.009588,-3.431743,21.848004,-0.420771,53.537383,1.441394,9.303542,3.935691,5.740341,35.468343,20.683713,45.801301,76.416437,48.619187,14.709079,66.328613,40.706608,13.253061,22.377049,14.505688,52.406386,73.311812,140.300912,6.173266,17.627073,16.717545,66.370597,39.373949,28.169593,56.443003,10.252624,34.396266,56.436932,15.434187,34.528864,55.353168,22.727143,14.704504,-2.35919,14.771411,15.435814,18.104001,-2.048007,14.099041,22.687463,32.194831,6.052642,70.060086,19.018389,64.00569,20.907078,43.753367,0.0,6.0
